split,channel,uav_id,extreme_rows,maximum_extreme_run,isolated_extremes_percent,first_extreme_cycle,last_extreme_cycle
train,telemetry_04,UAV_0031,1,1,100.0,9,9
train,telemetry_04,UAV_0032,2,1,100.0,35,155
train,telemetry_04,UAV_0033,2,1,100.0,53,197
train,telemetry_04,UAV_0034,6,1,100.0,1,334
train,telemetry_04,UAV_0035,5,1,100.0,37,127
train,telemetry_04,UAV_0036,2,1,100.0,11,135
train,telemetry_04,UAV_0037,6,1,100.0,164,315
train,telemetry_04,UAV_0038,5,1,100.0,15,173
train,telemetry_04,UAV_0039,8,1,100.0,40,257
train,telemetry_04,UAV_0040,2,1,100.0,24,107
train,telemetry_04,UAV_0041,8,1,100.0,57,284
train,telemetry_04,UAV_0042,4,1,100.0,18,148
train,telemetry_04,UAV_0043,4,1,100.0,54,312
train,telemetry_04,UAV_0044,8,2,50.0,52,172
train,telemetry_04,UAV_0045,3,1,100.0,25,164
train,telemetry_04,UAV_0046,4,1,100.0,54,167
train,telemetry_04,UAV_0047,4,1,100.0,51,265
train,telemetry_04,UAV_0048,4,1,100.0,25,90
train,telemetry_04,UAV_0049,2,1,100.0,99,201
train,telemetry_04,UAV_0050,2,1,100.0,94,107
train,telemetry_04,UAV_0051,4,1,100.0,46,189
train,telemetry_04,UAV_0052,1,1,100.0,103,103
train,telemetry_04,UAV_0053,4,1,100.0,12,163
train,telemetry_04,UAV_0054,3,1,100.0,33,163
train,telemetry_04,UAV_0055,10,1,100.0,9,443
train,telemetry_04,UAV_0056,2,1,100.0,36,195
train,telemetry_04,UAV_0057,3,1,100.0,134,183
train,telemetry_04,UAV_0058,4,1,100.0,107,177
train,telemetry_04,UAV_0059,5,1,100.0,60,197
train,telemetry_04,UAV_0060,2,1,100.0,71,130
train,telemetry_04,UAV_0061,2,1,100.0,77,154
train,telemetry_04,UAV_0062,6,1,100.0,49,222
train,telemetry_04,UAV_0063,6,1,100.0,7,220
train,telemetry_04,UAV_0064,1,1,100.0,138,138
train,telemetry_04,UAV_0065,3,1,100.0,12,232
train,telemetry_04,UAV_0066,4,1,100.0,30,165
train,telemetry_04,UAV_0067,3,1,100.0,37,243
train,telemetry_04,UAV_0068,3,1,100.0,5,189
train,telemetry_04,UAV_0069,4,1,100.0,11,104
train,telemetry_04,UAV_0070,2,1,100.0,38,113
train,telemetry_04,UAV_0071,8,1,100.0,20,313
train,telemetry_04,UAV_0072,3,1,100.0,59,190
train,telemetry_04,UAV_0073,5,2,60.0,62,140
train,telemetry_04,UAV_0074,3,1,100.0,8,166
train,telemetry_04,UAV_0075,4,1,100.0,38,179
train,telemetry_04,UAV_0076,2,1,100.0,60,143
train,telemetry_04,UAV_0077,7,1,100.0,97,226
train,telemetry_04,UAV_0078,2,1,100.0,134,145
train,telemetry_04,UAV_0079,5,1,100.0,63,164
train,telemetry_04,UAV_0080,2,1,100.0,8,123
train,telemetry_04,UAV_0081,4,1,100.0,166,260
train,telemetry_04,UAV_0082,5,1,100.0,1,281
train,telemetry_04,UAV_0083,2,1,100.0,24,54
train,telemetry_04,UAV_0084,4,1,100.0,37,146
train,telemetry_04,UAV_0085,4,1,100.0,46,253
train,telemetry_04,UAV_0086,8,1,100.0,60,265
train,telemetry_04,UAV_0087,3,1,100.0,9,88
train,telemetry_04,UAV_0088,4,1,100.0,16,322
train,telemetry_04,UAV_0089,5,1,100.0,17,200
train,telemetry_04,UAV_0090,3,1,100.0,10,179
train,telemetry_04,UAV_0091,1,1,100.0,98,98
train,telemetry_04,UAV_0092,2,1,100.0,52,137
train,telemetry_04,UAV_0093,2,1,100.0,18,130
train,telemetry_04,UAV_0094,12,1,100.0,46,391
train,telemetry_04,UAV_0095,7,1,100.0,31,131
train,telemetry_04,UAV_0096,11,1,100.0,32,441
train,telemetry_04,UAV_0097,6,1,100.0,37,259
train,telemetry_04,UAV_0098,4,1,100.0,43,262
train,telemetry_04,UAV_0100,4,1,100.0,1,102
train,telemetry_10,UAV_0001,6,1,100.0,3,208
train,telemetry_10,UAV_0002,4,1,100.0,10,230
train,telemetry_10,UAV_0003,2,1,100.0,57,130
train,telemetry_10,UAV_0004,7,1,100.0,39,255
train,telemetry_10,UAV_0005,7,2,71.42857142857143,11,167
train,telemetry_10,UAV_0006,4,1,100.0,19,246
train,telemetry_10,UAV_0007,12,1,100.0,41,378
train,telemetry_10,UAV_0008,7,1,100.0,24,265
train,telemetry_10,UAV_0009,6,1,100.0,10,377
train,telemetry_10,UAV_0010,9,1,100.0,65,464
train,telemetry_10,UAV_0011,2,1,100.0,42,175
train,telemetry_10,UAV_0012,2,1,100.0,53,150
train,telemetry_10,UAV_0013,4,1,100.0,4,86
train,telemetry_10,UAV_0014,2,1,100.0,51,183
train,telemetry_10,UAV_0015,4,1,100.0,6,155
train,telemetry_10,UAV_0016,10,1,100.0,12,268
train,telemetry_10,UAV_0017,7,1,100.0,50,304
train,telemetry_10,UAV_0018,5,1,100.0,66,332
train,telemetry_10,UAV_0019,3,1,100.0,151,218
train,telemetry_10,UAV_0020,10,1,100.0,2,306
train,telemetry_10,UAV_0021,1,1,100.0,10,10
train,telemetry_10,UAV_0022,9,2,77.77777777777779,18,189
train,telemetry_10,UAV_0023,3,1,100.0,31,144
train,telemetry_10,UAV_0024,12,2,83.33333333333334,12,474
train,telemetry_10,UAV_0025,2,1,100.0,43,87
train,telemetry_10,UAV_0026,3,1,100.0,22,105
train,telemetry_10,UAV_0027,5,1,100.0,26,308
train,telemetry_10,UAV_0028,3,1,100.0,2,150
train,telemetry_10,UAV_0029,4,1,100.0,11,176
train,telemetry_10,UAV_0030,3,1,100.0,7,145
train,telemetry_10,UAV_0031,1,1,100.0,9,9
train,telemetry_10,UAV_0032,2,1,100.0,35,155
train,telemetry_10,UAV_0033,2,1,100.0,53,197
train,telemetry_10,UAV_0034,6,1,100.0,1,334
train,telemetry_10,UAV_0035,5,1,100.0,37,127
train,telemetry_10,UAV_0036,2,1,100.0,11,135
train,telemetry_10,UAV_0037,6,1,100.0,164,315
train,telemetry_10,UAV_0038,5,1,100.0,15,173
train,telemetry_10,UAV_0039,8,1,100.0,40,257
train,telemetry_10,UAV_0040,2,1,100.0,24,107
train,telemetry_10,UAV_0041,8,1,100.0,57,284
train,telemetry_10,UAV_0042,4,1,100.0,18,148
train,telemetry_10,UAV_0043,4,1,100.0,54,312
train,telemetry_10,UAV_0044,8,2,50.0,52,172
train,telemetry_10,UAV_0045,3,1,100.0,25,164
train,telemetry_10,UAV_0046,4,1,100.0,54,167
train,telemetry_10,UAV_0047,4,1,100.0,51,265
train,telemetry_10,UAV_0048,4,1,100.0,25,90
train,telemetry_10,UAV_0049,2,1,100.0,99,201
train,telemetry_10,UAV_0050,2,1,100.0,94,107
train,telemetry_10,UAV_0051,4,1,100.0,46,189
train,telemetry_10,UAV_0052,1,1,100.0,103,103
train,telemetry_10,UAV_0053,4,1,100.0,12,163
train,telemetry_10,UAV_0054,3,1,100.0,33,163
train,telemetry_10,UAV_0055,10,1,100.0,9,443
train,telemetry_10,UAV_0056,2,1,100.0,36,195
train,telemetry_10,UAV_0057,3,1,100.0,134,183
train,telemetry_10,UAV_0058,4,1,100.0,107,177
train,telemetry_10,UAV_0059,5,1,100.0,60,197
train,telemetry_10,UAV_0060,2,1,100.0,71,130
train,telemetry_10,UAV_0061,2,1,100.0,77,154
train,telemetry_10,UAV_0062,6,1,100.0,49,222
train,telemetry_10,UAV_0063,6,1,100.0,7,220
train,telemetry_10,UAV_0064,1,1,100.0,138,138
train,telemetry_10,UAV_0065,3,1,100.0,12,232
train,telemetry_10,UAV_0066,4,1,100.0,30,165
train,telemetry_10,UAV_0067,3,1,100.0,37,243
train,telemetry_10,UAV_0068,3,1,100.0,5,189
train,telemetry_10,UAV_0069,4,1,100.0,11,104
train,telemetry_10,UAV_0070,2,1,100.0,38,113
train,telemetry_10,UAV_0071,8,1,100.0,20,313
train,telemetry_10,UAV_0072,3,1,100.0,59,190
train,telemetry_10,UAV_0073,5,2,60.0,62,140
train,telemetry_10,UAV_0074,3,1,100.0,8,166
train,telemetry_10,UAV_0075,4,1,100.0,38,179
train,telemetry_10,UAV_0076,2,1,100.0,60,143
train,telemetry_10,UAV_0077,7,1,100.0,97,226
train,telemetry_10,UAV_0078,2,1,100.0,134,145
train,telemetry_10,UAV_0079,5,1,100.0,63,164
train,telemetry_10,UAV_0080,2,1,100.0,8,123
train,telemetry_10,UAV_0081,4,1,100.0,166,260
train,telemetry_10,UAV_0082,5,1,100.0,1,281
train,telemetry_10,UAV_0083,2,1,100.0,24,54
train,telemetry_10,UAV_0084,4,1,100.0,37,146
train,telemetry_10,UAV_0085,4,1,100.0,46,253
train,telemetry_10,UAV_0086,8,1,100.0,60,265
train,telemetry_10,UAV_0087,3,1,100.0,9,88
train,telemetry_10,UAV_0088,4,1,100.0,16,322
train,telemetry_10,UAV_0089,5,1,100.0,17,200
train,telemetry_10,UAV_0090,3,1,100.0,10,179
train,telemetry_10,UAV_0091,1,1,100.0,98,98
train,telemetry_10,UAV_0092,2,1,100.0,52,137
train,telemetry_10,UAV_0093,2,1,100.0,18,130
train,telemetry_10,UAV_0094,12,1,100.0,46,391
train,telemetry_10,UAV_0095,7,1,100.0,31,131
train,telemetry_10,UAV_0096,11,1,100.0,32,441
train,telemetry_10,UAV_0097,6,1,100.0,37,259
train,telemetry_10,UAV_0098,4,1,100.0,43,262
train,telemetry_10,UAV_0100,4,1,100.0,1,102
train,telemetry_11,UAV_0001,6,1,100.0,3,208
train,telemetry_11,UAV_0002,4,1,100.0,10,230
train,telemetry_11,UAV_0003,2,1,100.0,57,130
train,telemetry_11,UAV_0004,7,1,100.0,39,255
train,telemetry_11,UAV_0005,7,2,71.42857142857143,11,167
train,telemetry_11,UAV_0006,4,1,100.0,19,246
train,telemetry_11,UAV_0007,12,1,100.0,41,378
train,telemetry_11,UAV_0008,7,1,100.0,24,265
train,telemetry_11,UAV_0009,6,1,100.0,10,377
train,telemetry_11,UAV_0010,9,1,100.0,65,464
train,telemetry_11,UAV_0011,2,1,100.0,42,175
train,telemetry_11,UAV_0012,2,1,100.0,53,150
train,telemetry_11,UAV_0013,4,1,100.0,4,86
train,telemetry_11,UAV_0014,2,1,100.0,51,183
train,telemetry_11,UAV_0015,4,1,100.0,6,155
train,telemetry_11,UAV_0016,10,1,100.0,12,268
train,telemetry_11,UAV_0017,7,1,100.0,50,304
train,telemetry_11,UAV_0018,5,1,100.0,66,332
train,telemetry_11,UAV_0019,3,1,100.0,151,218
train,telemetry_11,UAV_0020,10,1,100.0,2,306
train,telemetry_11,UAV_0021,1,1,100.0,10,10
train,telemetry_11,UAV_0022,9,2,77.77777777777779,18,189
train,telemetry_11,UAV_0023,3,1,100.0,31,144
train,telemetry_11,UAV_0024,12,2,83.33333333333334,12,474
train,telemetry_11,UAV_0025,2,1,100.0,43,87
train,telemetry_11,UAV_0026,3,1,100.0,22,105
train,telemetry_11,UAV_0027,5,1,100.0,26,308
train,telemetry_11,UAV_0028,3,1,100.0,2,150
train,telemetry_11,UAV_0029,4,1,100.0,11,176
train,telemetry_11,UAV_0030,3,1,100.0,7,145
train,telemetry_11,UAV_0031,1,1,100.0,9,9
train,telemetry_11,UAV_0032,2,1,100.0,35,155
train,telemetry_11,UAV_0033,2,1,100.0,53,197
train,telemetry_11,UAV_0034,6,1,100.0,1,334
train,telemetry_11,UAV_0035,5,1,100.0,37,127
train,telemetry_11,UAV_0036,2,1,100.0,11,135
train,telemetry_11,UAV_0037,6,1,100.0,164,315
train,telemetry_11,UAV_0038,5,1,100.0,15,173
train,telemetry_11,UAV_0039,8,1,100.0,40,257
train,telemetry_11,UAV_0040,2,1,100.0,24,107
train,telemetry_11,UAV_0041,8,1,100.0,57,284
train,telemetry_11,UAV_0042,4,1,100.0,18,148
train,telemetry_11,UAV_0043,4,1,100.0,54,312
train,telemetry_11,UAV_0044,8,2,50.0,52,172
train,telemetry_11,UAV_0045,3,1,100.0,25,164
train,telemetry_11,UAV_0046,4,1,100.0,54,167
train,telemetry_11,UAV_0047,4,1,100.0,51,265
train,telemetry_11,UAV_0048,4,1,100.0,25,90
train,telemetry_11,UAV_0049,2,1,100.0,99,201
train,telemetry_11,UAV_0050,2,1,100.0,94,107
train,telemetry_11,UAV_0051,4,1,100.0,46,189
train,telemetry_11,UAV_0052,1,1,100.0,103,103
train,telemetry_11,UAV_0053,4,1,100.0,12,163
train,telemetry_11,UAV_0054,3,1,100.0,33,163
train,telemetry_11,UAV_0055,10,1,100.0,9,443
train,telemetry_11,UAV_0056,2,1,100.0,36,195
train,telemetry_11,UAV_0057,3,1,100.0,134,183
train,telemetry_11,UAV_0058,4,1,100.0,107,177
train,telemetry_11,UAV_0059,5,1,100.0,60,197
train,telemetry_11,UAV_0060,2,1,100.0,71,130
train,telemetry_11,UAV_0061,2,1,100.0,77,154
train,telemetry_11,UAV_0062,6,1,100.0,49,222
train,telemetry_11,UAV_0063,6,1,100.0,7,220
train,telemetry_11,UAV_0064,1,1,100.0,138,138
train,telemetry_11,UAV_0065,3,1,100.0,12,232
train,telemetry_11,UAV_0066,4,1,100.0,30,165
train,telemetry_11,UAV_0067,3,1,100.0,37,243
train,telemetry_11,UAV_0068,3,1,100.0,5,189
train,telemetry_11,UAV_0069,4,1,100.0,11,104
train,telemetry_11,UAV_0070,2,1,100.0,38,113
train,telemetry_11,UAV_0071,8,1,100.0,20,313
train,telemetry_11,UAV_0072,3,1,100.0,59,190
train,telemetry_11,UAV_0073,5,2,60.0,62,140
train,telemetry_11,UAV_0074,3,1,100.0,8,166
train,telemetry_11,UAV_0075,4,1,100.0,38,179
train,telemetry_11,UAV_0076,2,1,100.0,60,143
train,telemetry_11,UAV_0077,7,1,100.0,97,226
train,telemetry_11,UAV_0078,2,1,100.0,134,145
train,telemetry_11,UAV_0079,5,1,100.0,63,164
train,telemetry_11,UAV_0080,2,1,100.0,8,123
train,telemetry_11,UAV_0081,4,1,100.0,166,260
train,telemetry_11,UAV_0082,5,1,100.0,1,281
train,telemetry_11,UAV_0083,2,1,100.0,24,54
train,telemetry_11,UAV_0084,4,1,100.0,37,146
train,telemetry_11,UAV_0085,4,1,100.0,46,253
train,telemetry_11,UAV_0086,8,1,100.0,60,265
train,telemetry_11,UAV_0087,3,1,100.0,9,88
train,telemetry_11,UAV_0088,4,1,100.0,16,322
train,telemetry_11,UAV_0089,5,1,100.0,17,200
train,telemetry_11,UAV_0090,3,1,100.0,10,179
train,telemetry_11,UAV_0091,1,1,100.0,98,98
train,telemetry_11,UAV_0092,2,1,100.0,52,137
train,telemetry_11,UAV_0093,2,1,100.0,18,130
train,telemetry_11,UAV_0094,12,1,100.0,46,391
train,telemetry_11,UAV_0095,7,1,100.0,31,131
train,telemetry_11,UAV_0096,11,1,100.0,32,441
train,telemetry_11,UAV_0097,6,1,100.0,37,259
train,telemetry_11,UAV_0098,4,1,100.0,43,262
train,telemetry_11,UAV_0100,4,1,100.0,1,102
train,telemetry_18,UAV_0001,244,222,2.0491803278688523,1,258
train,telemetry_18,UAV_0010,51,46,1.9607843137254901,425,481
train,telemetry_18,UAV_0035,231,231,0.0,1,231
train,telemetry_18,UAV_0068,189,175,2.1164021164021163,3,201
train,telemetry_18,UAV_0072,232,232,0.0,1,232
train,telemetry_18,UAV_0076,92,88,4.3478260869565215,1,106
train,telemetry_18,UAV_0078,221,221,0.0,1,221
train,telemetry_18,UAV_0085,266,266,0.0,1,266
train,telemetry_18,UAV_0089,180,135,1.6666666666666667,1,196
train,telemetry_24,UAV_0001,6,1,100.0,3,208
train,telemetry_24,UAV_0002,18,11,27.77777777777778,10,253
train,telemetry_24,UAV_0003,2,1,100.0,57,130
train,telemetry_24,UAV_0004,7,1,100.0,39,255
train,telemetry_24,UAV_0005,7,2,71.42857142857143,11,167
train,telemetry_24,UAV_0006,4,1,100.0,19,246
train,telemetry_24,UAV_0007,32,20,37.5,41,424
train,telemetry_24,UAV_0008,7,1,100.0,24,265
train,telemetry_24,UAV_0009,39,31,15.384615384615385,10,406
train,telemetry_24,UAV_0010,10,1,100.0,65,481
train,telemetry_24,UAV_0011,9,7,22.22222222222222,42,197
train,telemetry_24,UAV_0012,2,1,100.0,53,150
train,telemetry_24,UAV_0013,4,1,100.0,4,86
train,telemetry_24,UAV_0014,2,1,100.0,51,183
train,telemetry_24,UAV_0015,4,1,100.0,6,155
train,telemetry_24,UAV_0016,33,19,36.36363636363637,12,344
train,telemetry_24,UAV_0017,18,11,38.88888888888889,50,312
train,telemetry_24,UAV_0018,22,17,22.727272727272727,66,447
train,telemetry_24,UAV_0019,24,19,12.5,151,229
train,telemetry_24,UAV_0020,29,19,34.48275862068966,2,338
train,telemetry_24,UAV_0021,12,11,8.333333333333332,10,220
train,telemetry_24,UAV_0022,9,2,77.77777777777779,18,189
train,telemetry_24,UAV_0023,3,1,100.0,31,144
train,telemetry_24,UAV_0024,28,11,32.142857142857146,12,494
train,telemetry_24,UAV_0025,2,1,100.0,43,87
train,telemetry_24,UAV_0026,3,1,100.0,22,105
train,telemetry_24,UAV_0027,17,10,23.52941176470588,26,320
train,telemetry_24,UAV_0028,3,1,100.0,2,150
train,telemetry_24,UAV_0029,4,1,100.0,11,176
train,telemetry_24,UAV_0030,3,1,100.0,7,145
train,telemetry_24,UAV_0031,1,1,100.0,9,9
train,telemetry_24,UAV_0032,2,1,100.0,35,155
train,telemetry_24,UAV_0033,15,13,13.333333333333334,53,231
train,telemetry_24,UAV_0034,25,15,32.0,1,459
train,telemetry_24,UAV_0035,5,1,100.0,37,127
train,telemetry_24,UAV_0036,2,1,100.0,11,135
train,telemetry_24,UAV_0037,20,14,30.0,164,324
train,telemetry_24,UAV_0038,20,12,30.0,15,201
train,telemetry_24,UAV_0039,23,15,34.78260869565217,40,288
train,telemetry_24,UAV_0040,2,1,100.0,24,107
train,telemetry_24,UAV_0041,26,15,30.76923076923077,57,295
train,telemetry_24,UAV_0042,13,9,30.76923076923077,18,193
train,telemetry_24,UAV_0043,21,16,23.809523809523807,54,321
train,telemetry_24,UAV_0044,8,2,50.0,52,172
train,telemetry_24,UAV_0045,13,10,23.076923076923077,25,205
train,telemetry_24,UAV_0046,17,13,23.52941176470588,54,204
train,telemetry_24,UAV_0047,4,1,100.0,51,265
train,telemetry_24,UAV_0048,4,1,100.0,25,90
train,telemetry_24,UAV_0049,19,14,15.789473684210526,99,256
train,telemetry_24,UAV_0050,2,1,100.0,94,107
train,telemetry_24,UAV_0051,4,1,100.0,46,189
train,telemetry_24,UAV_0052,1,1,100.0,103,103
train,telemetry_24,UAV_0053,4,1,100.0,12,163
train,telemetry_24,UAV_0054,3,1,100.0,33,163
train,telemetry_24,UAV_0055,33,19,33.33333333333333,9,525
train,telemetry_24,UAV_0056,2,1,100.0,36,195
train,telemetry_24,UAV_0057,20,16,20.0,134,215
train,telemetry_24,UAV_0058,4,1,100.0,107,177
train,telemetry_24,UAV_0059,29,23,20.689655172413794,60,299
train,telemetry_24,UAV_0060,13,11,15.384615384615385,71,190
train,telemetry_24,UAV_0061,2,1,100.0,77,154
train,telemetry_24,UAV_0062,18,12,33.33333333333333,49,246
train,telemetry_24,UAV_0063,6,1,100.0,7,220
train,telemetry_24,UAV_0064,1,1,100.0,138,138
train,telemetry_24,UAV_0065,3,1,100.0,12,232
train,telemetry_24,UAV_0066,4,1,100.0,30,165
train,telemetry_24,UAV_0067,3,1,100.0,37,243
train,telemetry_24,UAV_0068,3,1,100.0,5,189
train,telemetry_24,UAV_0069,4,1,100.0,11,104
train,telemetry_24,UAV_0070,2,1,100.0,38,113
train,telemetry_24,UAV_0071,21,12,42.857142857142854,20,409
train,telemetry_24,UAV_0072,14,10,28.57142857142857,59,232
train,telemetry_24,UAV_0073,14,9,21.428571428571427,62,215
train,telemetry_24,UAV_0074,3,1,100.0,8,166
train,telemetry_24,UAV_0075,14,9,35.714285714285715,38,259
train,telemetry_24,UAV_0076,2,1,100.0,60,143
train,telemetry_24,UAV_0077,27,15,29.629629629629626,97,255
train,telemetry_24,UAV_0078,2,1,100.0,134,145
train,telemetry_24,UAV_0079,5,1,100.0,63,164
train,telemetry_24,UAV_0080,2,1,100.0,8,123
train,telemetry_24,UAV_0081,22,16,27.27272727272727,166,347
train,telemetry_24,UAV_0082,20,15,25.0,1,285
train,telemetry_24,UAV_0083,2,1,100.0,24,54
train,telemetry_24,UAV_0084,16,10,25.0,37,226
train,telemetry_24,UAV_0085,22,18,18.181818181818183,46,266
train,telemetry_24,UAV_0086,8,1,100.0,60,265
train,telemetry_24,UAV_0087,3,1,100.0,9,88
train,telemetry_24,UAV_0088,16,8,18.75,16,322
train,telemetry_24,UAV_0089,15,11,26.666666666666668,17,207
train,telemetry_24,UAV_0090,3,1,100.0,10,179
train,telemetry_24,UAV_0091,1,1,100.0,98,98
train,telemetry_24,UAV_0092,2,1,100.0,52,137
train,telemetry_24,UAV_0093,2,1,100.0,18,130
train,telemetry_24,UAV_0094,44,29,29.545454545454547,46,392
train,telemetry_24,UAV_0095,7,1,100.0,31,131
train,telemetry_24,UAV_0096,34,16,38.23529411764706,32,491
train,telemetry_24,UAV_0097,22,17,22.727272727272727,37,275
train,telemetry_24,UAV_0098,20,15,25.0,43,307
train,telemetry_24,UAV_0100,4,1,100.0,1,102
train,telemetry_26,UAV_0001,259,259,0.0,1,259
train,telemetry_26,UAV_0002,7,7,0.0,247,253
train,telemetry_26,UAV_0007,10,10,0.0,415,424
train,telemetry_26,UAV_0009,21,19,9.523809523809524,381,406
train,telemetry_26,UAV_0011,4,4,0.0,194,197
train,telemetry_26,UAV_0016,12,12,0.0,333,344
train,telemetry_26,UAV_0017,8,7,12.5,304,312
train,telemetry_26,UAV_0018,4,3,25.0,438,447
train,telemetry_26,UAV_0019,9,9,0.0,221,229
train,telemetry_26,UAV_0020,10,9,10.0,327,338
train,telemetry_26,UAV_0021,7,7,0.0,214,220
train,telemetry_26,UAV_0024,9,9,0.0,486,494
train,telemetry_26,UAV_0027,6,5,16.666666666666664,314,320
train,telemetry_26,UAV_0033,8,8,0.0,224,231
train,telemetry_26,UAV_0034,8,8,0.0,452,459
train,telemetry_26,UAV_0035,70,42,7.142857142857142,1,91
train,telemetry_26,UAV_0037,7,6,14.285714285714285,317,324
train,telemetry_26,UAV_0038,9,8,11.11111111111111,192,201
train,telemetry_26,UAV_0039,10,10,0.0,279,288
train,telemetry_26,UAV_0041,11,11,0.0,285,295
train,telemetry_26,UAV_0042,3,3,0.0,191,193
train,telemetry_26,UAV_0043,9,9,0.0,313,321
train,telemetry_26,UAV_0045,6,6,0.0,200,205
train,telemetry_26,UAV_0046,8,8,0.0,197,204
train,telemetry_26,UAV_0049,10,7,0.0,246,256
train,telemetry_26,UAV_0055,12,9,8.333333333333332,512,525
train,telemetry_26,UAV_0057,9,9,0.0,207,215
train,telemetry_26,UAV_0059,11,11,0.0,289,299
train,telemetry_26,UAV_0060,4,3,25.0,186,190
train,telemetry_26,UAV_0062,8,7,12.5,238,246
train,telemetry_26,UAV_0068,201,201,0.0,1,201
train,telemetry_26,UAV_0071,4,2,50.0,404,409
train,telemetry_26,UAV_0072,232,232,0.0,1,232
train,telemetry_26,UAV_0073,5,5,0.0,211,215
train,telemetry_26,UAV_0075,5,4,20.0,254,259
train,telemetry_26,UAV_0076,95,77,3.1578947368421053,1,103
train,telemetry_26,UAV_0077,9,7,22.22222222222222,243,255
train,telemetry_26,UAV_0078,132,124,2.272727272727273,1,219
train,telemetry_26,UAV_0081,9,9,0.0,339,347
train,telemetry_26,UAV_0082,8,6,25.0,276,285
train,telemetry_26,UAV_0084,6,4,33.33333333333333,219,226
train,telemetry_26,UAV_0085,266,266,0.0,1,266
train,telemetry_26,UAV_0088,8,7,12.5,311,322
train,telemetry_26,UAV_0089,197,72,0.0,1,207
train,telemetry_26,UAV_0094,16,15,6.25,375,392
train,telemetry_26,UAV_0096,10,10,0.0,482,491
train,telemetry_26,UAV_0097,8,7,12.5,267,275
train,telemetry_26,UAV_0098,7,7,0.0,301,307
test,telemetry_04,UAV_0101,1,1,100.0,98,98
test,telemetry_04,UAV_0102,4,1,100.0,40,86
test,telemetry_04,UAV_0103,4,1,100.0,108,186
test,telemetry_04,UAV_0104,2,1,100.0,57,67
test,telemetry_04,UAV_0105,6,1,100.0,9,125
test,telemetry_04,UAV_0106,1,1,100.0,40,40
test,telemetry_04,UAV_0107,4,1,100.0,4,47
test,telemetry_04,UAV_0108,3,1,100.0,29,178
test,telemetry_04,UAV_0109,3,1,100.0,11,211
test,telemetry_04,UAV_0110,1,1,100.0,37,37
test,telemetry_04,UAV_0111,1,1,100.0,48,48
test,telemetry_04,UAV_0112,4,1,100.0,24,143
test,telemetry_04,UAV_0113,2,1,100.0,17,64
test,telemetry_04,UAV_0114,1,1,100.0,141,141
test,telemetry_04,UAV_0115,4,1,100.0,25,96
test,telemetry_04,UAV_0116,3,1,100.0,39,121
test,telemetry_04,UAV_0117,2,1,100.0,85,182
test,telemetry_04,UAV_0118,5,2,60.0,22,154
test,telemetry_04,UAV_0119,2,1,100.0,10,17
test,telemetry_04,UAV_0120,3,2,33.33333333333333,90,153
test,telemetry_04,UAV_0121,4,1,100.0,89,247
test,telemetry_04,UAV_0123,6,2,33.33333333333333,122,331
test,telemetry_04,UAV_0124,8,1,100.0,79,351
test,telemetry_04,UAV_0125,3,1,100.0,13,162
test,telemetry_04,UAV_0128,1,1,100.0,63,63
