split,channel,uav_id,flight_cycle,RUL,value,previous_value,next_value,direction,lower_bound,upper_bound,distance_beyond_bound_iqr,extreme_run_length,isolated_spike,cooccurring_channel_count,cooccurring_channels,change_from_previous,change_to_next
test,telemetry_04,UAV_0101,98,,-125.55620624564462,-125.87101026067972,-125.87243259961178,high,-126.04453561039314,-125.74584443465695,4.444280350145725,1,True,2,telemetry_04;telemetry_24,0.3148040150351079,-0.31622635396716703
test,telemetry_04,UAV_0109,211,,-125.42816444825144,-125.95208357980816,-125.84256348203814,high,-126.04453561039314,-125.74584443465695,7.445013731515756,1,True,2,telemetry_04;telemetry_24,0.523919131556724,-0.41439903378670806
test,telemetry_04,UAV_0110,37,,-126.32315737465004,-125.89234534466088,-125.94070486835156,low,-126.04453561039314,-125.74584443465695,6.529661765169909,1,True,2,telemetry_04;telemetry_24,-0.4308120299891556,0.3824525062984776
test,telemetry_04,UAV_0111,48,,-125.46109385846812,-125.88665598893256,-125.91936978437036,high,-126.04453561039314,-125.74584443465695,6.673294008130449,1,True,2,telemetry_04;telemetry_24,0.42556213046444213,-0.4582759259022424
test,telemetry_04,UAV_0112,24,,-126.16979270385625,-125.92079212330243,-125.92648147903076,low,-126.04453561039314,-125.74584443465695,2.9354722384437903,1,True,2,telemetry_04;telemetry_24,-0.2490005805538118,0.24331122482549006
test,telemetry_04,UAV_0112,86,,-126.39912179818045,-125.83829646524192,-125.92648147903076,low,-126.04453561039314,-125.74584443465695,8.309931849822492,1,True,2,telemetry_04;telemetry_24,-0.5608253329385207,0.47264031914968996
test,telemetry_04,UAV_0112,129,,-125.60979524553096,-125.87101026067972,-125.84683049883438,high,-126.04453561039314,-125.74584443465695,3.188391225601527,1,True,2,telemetry_04;telemetry_24,0.261215015148764,-0.2370352533034179
test,telemetry_04,UAV_0112,143,,-126.36651544236403,-125.949238901944,-125.87101026067972,low,-126.04453561039314,-125.74584443465695,7.545783092657762,1,True,2,telemetry_04;telemetry_24,-0.41727654042003337,0.4955051816843081
test,telemetry_04,UAV_0113,17,,-126.30903264189028,-125.8781219553401,-125.92221446223454,low,-126.04453561039314,-125.74584443465695,6.198640505252933,1,True,2,telemetry_04;telemetry_24,-0.4309106865501775,0.38681817965574794
test,telemetry_04,UAV_0113,64,,-126.25733733900292,-125.97768568058558,-125.87243259961178,low,-126.04453561039314,-125.74584443465695,4.987131262237423,1,True,2,telemetry_04;telemetry_24,-0.2796516584173361,0.384904739391132
test,telemetry_04,UAV_0114,141,,-125.39262789384404,-125.92790381796284,-125.88238897213634,high,-126.04453561039314,-125.74584443465695,8.27783338291217,1,True,2,telemetry_04;telemetry_24,0.5352759241188068,-0.48976107829230386
test,telemetry_04,UAV_0115,25,,-126.26072067256553,-125.90372405611753,-125.87243259961178,low,-126.04453561039314,-125.74584443465695,5.066421635914837,1,True,2,telemetry_04;telemetry_24,-0.35699661644800074,0.3882880729537419
test,telemetry_04,UAV_0115,86,,-126.37970975775444,-125.86674324388348,-125.96630696912896,low,-126.04453561039314,-125.74584443465695,7.854999484823379,1,True,2,telemetry_04;telemetry_24,-0.512966513870964,0.41340278862547564
test,telemetry_04,UAV_0115,92,,-126.3273199984506,-125.8781219553401,-125.88096663320424,low,-126.04453561039314,-125.74584443465695,6.627215255098612,1,True,2,telemetry_04;telemetry_24,-0.44919804311049916,0.4463533652463667
test,telemetry_04,UAV_0115,96,,-126.25364907035456,-125.95208357980816,-125.90087937825336,low,-126.04453561039314,-125.74584443465695,4.900694558927085,1,True,2,telemetry_04;telemetry_24,-0.3015654905463947,0.3527696921011909
test,telemetry_04,UAV_0116,39,,-126.31416524385462,-125.88096663320424,-125.9165251065062,low,-126.04453561039314,-125.74584443465695,6.3189259929704225,1,True,2,telemetry_04;telemetry_24,-0.4331986106503791,0.39764013734841797
test,telemetry_04,UAV_0116,84,,-125.48234864665244,-125.92079212330243,-125.84398582097022,high,-126.04453561039314,-125.74584443465695,6.17517578644699,1,True,2,telemetry_04;telemetry_24,0.4384434766499936,-0.361637174317778
test,telemetry_04,UAV_0116,121,,-126.3577464051751,-125.90230171718544,-125.9236368011666,low,-126.04453561039314,-125.74584443465695,7.340275647815467,1,True,2,telemetry_04;telemetry_24,-0.45544468798966875,0.43410960400851195
test,telemetry_04,UAV_0117,85,,-125.48893677990236,-125.86389856601932,-125.9179474454383,high,-126.04453561039314,-125.74584443465695,6.020779083445049,1,True,2,telemetry_04;telemetry_24,0.3749617861169554,-0.4290106655359409
test,telemetry_04,UAV_0117,182,,-125.4307934784496,-125.90656873398169,-125.86816558281556,high,-126.04453561039314,-125.74584443465695,7.38340089229547,1,True,2,telemetry_04;telemetry_24,0.4757752555320849,-0.43737210436596285
test,telemetry_04,UAV_0118,22,,-125.44435898741304,-125.90372405611753,-125.95919527446856,high,-126.04453561039314,-125.74584443465695,7.065485364627066,1,True,2,telemetry_04;telemetry_24,0.4593650687044857,-0.5148362870555161
test,telemetry_04,UAV_0118,94,,-126.34388746367826,-125.91936978437036,-125.930748495827,low,-126.04453561039314,-125.74584443465695,7.015483359463343,1,True,2,telemetry_04;telemetry_24,-0.42451767930789686,0.41313896785125337
test,telemetry_04,UAV_0118,98,,-125.51706304860812,-125.89376768359296,-125.87101026067972,high,-126.04453561039314,-125.74584443465695,5.361623752005924,1,True,2,telemetry_04;telemetry_24,0.37670463498483286,-0.35394721207160273
test,telemetry_04,UAV_0118,153,,-125.48184426337346,-125.91368042864208,-126.18669108679336,high,-126.04453561039314,-125.74584443465695,6.186996299537657,2,False,2,telemetry_04;telemetry_24,0.4318361652686207,-0.7048468234198992
test,telemetry_04,UAV_0118,154,,-126.18669108679336,-125.48184426337346,-125.86816558281556,low,-126.04453561039314,-125.74584443465695,3.3314955902159,2,False,2,telemetry_04;telemetry_24,-0.7048468234198992,0.31852550397779567
test,telemetry_04,UAV_0119,10,,-126.23752307127836,-125.85963154922308,-125.88665598893256,low,-126.04453561039314,-125.74584443465695,4.522772468476507,1,True,2,telemetry_04;telemetry_24,-0.377891522055279,0.35086708234580044
test,telemetry_04,UAV_0119,17,,-125.43191240945914,-125.92790381796284,-125.86958792174764,high,-126.04453561039314,-125.74584443465695,7.357178098644144,1,True,2,telemetry_04;telemetry_24,0.4959914085036985,-0.437675512288493
test,telemetry_04,UAV_0120,90,,-126.2171078328067,-125.9378601904874,-125.86674324388348,low,-126.04453561039314,-125.74584443465695,4.044329578594112,1,True,2,telemetry_04;telemetry_24,-0.2792476423193051,0.3503645889232274
test,telemetry_04,UAV_0120,152,,-126.29129377035326,-125.86105388815515,-126.27898087310628,low,-126.04453561039314,-125.74584443465695,5.782919818315706,2,False,2,telemetry_04;telemetry_24,-0.4302398821981086,0.012312897246985699
test,telemetry_04,UAV_0120,153,,-126.27898087310628,-126.29129377035326,-125.88665598893256,low,-126.04453561039314,-125.74584443465695,5.494359968777253,2,False,2,telemetry_04;telemetry_24,0.012312897246985699,0.3923248841737177
test,telemetry_04,UAV_0121,89,,-126.37729258865876,-125.87385493854389,-125.84967517669854,low,-126.04453561039314,-125.74584443465695,7.798351732749518,1,True,2,telemetry_04;telemetry_24,-0.5034376501148756,0.5276174119602217
test,telemetry_04,UAV_0121,95,,-126.31262203409456,-125.93359317369116,-125.9108357507779,low,-126.04453561039314,-125.74584443465695,6.282759982060387,1,True,2,telemetry_04;telemetry_24,-0.3790288604033947,0.4017862833166532
test,telemetry_04,UAV_0121,198,,-126.33590840706788,-125.8781219553401,-125.8909230057288,low,-126.04453561039314,-125.74584443465695,6.8284895651706154,1,True,2,telemetry_04;telemetry_24,-0.4577864517277703,0.44498540133908193
test,telemetry_04,UAV_0121,247,,-126.3533489256174,-125.89519002252504,-125.90514639504958,low,-126.04453561039314,-125.74584443465695,7.237218177744249,1,True,2,telemetry_04;telemetry_24,-0.45815890309235385,0.4482025305678121
test,telemetry_04,UAV_0123,122,,-125.58459371832244,-125.8510975156306,-126.23239102818904,high,-126.04453561039314,-125.74584443465695,3.779003552948847,2,False,2,telemetry_04;telemetry_24,0.266503797308161,-0.6477973098666041
test,telemetry_04,UAV_0123,123,,-126.23239102818904,-125.58459371832244,-125.90941341184585,low,-126.04453561039314,-125.74584443465695,4.402500078317389,2,False,2,telemetry_04;telemetry_24,-0.6477973098666041,0.322977616343195
test,telemetry_04,UAV_0123,167,,-125.41235841216526,-125.91936978437036,-125.44693675203204,high,-126.04453561039314,-125.74584443465695,7.8154373047282,2,False,2,telemetry_04;telemetry_24,0.5070113722050991,-0.03457833986678338
test,telemetry_04,UAV_0123,168,,-125.44693675203204,-125.41235841216526,-125.87527727747594,high,-126.04453561039314,-125.74584443465695,7.005073963826354,2,False,2,telemetry_04;telemetry_24,-0.03457833986678338,-0.42834052544390033
test,telemetry_04,UAV_0123,275,,-125.54260660721856,-125.83687412630984,-125.9108357507779,high,-126.04453561039314,-125.74584443465695,4.762995721457813,1,True,2,telemetry_04;telemetry_24,0.294267519091278,-0.368229143559347
test,telemetry_04,UAV_0123,331,,-126.2496278382596,-125.87669961640802,-125.90514639504958,low,-126.04453561039314,-125.74584443465695,4.806454665179585,1,True,2,telemetry_04;telemetry_24,-0.3729282218515806,0.3444814432100145
test,telemetry_04,UAV_0124,79,,-126.23887207663836,-125.86247622708724,-125.89661236145712,low,-126.04453561039314,-125.74584443465695,4.554387187246526,1,True,2,telemetry_04;telemetry_24,-0.37639584955111616,0.34225971518124254
test,telemetry_04,UAV_0124,91,,-126.2591797105626,-125.88665598893256,-125.90372405611753,low,-126.04453561039314,-125.74584443465695,5.030308302489919,1,True,2,telemetry_04;telemetry_24,-0.37252372163004566,0.3554556544450804
test,telemetry_04,UAV_0124,159,,-126.27106714604103,-125.86247622708724,-125.93359317369116,low,-126.04453561039314,-125.74584443465695,5.308897210059423,1,True,2,telemetry_04;telemetry_24,-0.4085909189537915,0.3374739723498692
test,telemetry_04,UAV_0124,175,,-125.46868446385496,-125.90230171718544,-125.89945703932128,high,-126.04453561039314,-125.74584443465695,6.495403792335141,1,True,2,telemetry_04;telemetry_24,0.43361725333048184,-0.430772575466321
test,telemetry_04,UAV_0124,200,,-125.52589110334569,-125.90799107291376,-125.91368042864208,high,-126.04453561039314,-125.74584443465695,5.154733196867726,1,True,2,telemetry_04;telemetry_24,0.382099969568074,-0.38778932529639576
test,telemetry_04,UAV_0124,205,,-126.3534011740564,-125.86816558281556,-125.87385493854389,low,-126.04453561039314,-125.74584443465695,7.238442650051243,1,True,2,telemetry_04;telemetry_24,-0.48523559124083704,0.4795462355125153
test,telemetry_04,UAV_0124,266,,-125.49909453539632,-125.86674324388348,-125.84683049883438,high,-126.04453561039314,-125.74584443465695,5.78272622405778,1,True,2,telemetry_04;telemetry_24,0.3676487084871525,-0.3477359634380548
test,telemetry_04,UAV_0124,351,,-126.22870686353843,-125.92648147903076,-125.89376768359296,low,-126.04453561039314,-125.74584443465695,4.316159554561741,1,True,2,telemetry_04;telemetry_24,-0.302225384507679,0.3349391799454793
test,telemetry_04,UAV_0125,13,,-125.57061461922864,-125.91936978437036,-125.94070486835156,high,-126.04453561039314,-125.74584443465695,4.106611803897117,1,True,2,telemetry_04;telemetry_24,0.3487551651417249,-0.3700902491229243
test,telemetry_04,UAV_0125,54,,-125.52847060111486,-125.8781219553401,-125.90799107291376,high,-126.04453561039314,-125.74584443465695,5.094281178693009,1,True,2,telemetry_04;telemetry_24,0.3496513542252444,-0.37952047179889803
test,telemetry_04,UAV_0125,162,,-126.316043771247,-125.91936978437036,-125.88238897213634,low,-126.04453561039314,-125.74584443465695,6.362950366018061,1,True,2,telemetry_04;telemetry_24,-0.39667398687663535,0.43365479911065563
test,telemetry_04,UAV_0128,63,,-125.54824983990552,-125.9179474454383,-125.88096663320424,high,-126.04453561039314,-125.74584443465695,4.630743308203942,1,True,2,telemetry_04;telemetry_24,0.3696976055327781,-0.3327167932987152
test,telemetry_04,UAV_0129,83,,-126.21404820686112,-125.85963154922308,-125.88807832786463,low,-126.04453561039314,-125.74584443465695,3.97262547964882,1,True,2,telemetry_04;telemetry_24,-0.35441665763804053,0.32596987899648866
test,telemetry_04,UAV_0130,2,,-125.39241773551666,-125.87669961640802,-125.88807832786463,high,-126.04453561039314,-125.74584443465695,8.282758564541702,1,True,2,telemetry_04;telemetry_24,0.48428188089135915,-0.4956605923479742
test,telemetry_04,UAV_0130,71,,-126.19680081648336,-125.87101026067972,-125.9236368011666,low,-126.04453561039314,-125.74584443465695,3.5684229371841547,1,True,2,telemetry_04;telemetry_24,-0.3257905558036356,0.27316401531676604
test,telemetry_04,UAV_0130,90,,-126.29149436945332,-125.93501551262324,-125.88238897213634,low,-126.04453561039314,-125.74584443465695,5.7876209739388,1,True,2,telemetry_04;telemetry_24,-0.35647885683007985,0.4091053973169778
test,telemetry_04,UAV_0130,122,,-125.44546777352272,-125.83829646524192,-125.8909230057288,high,-126.04453561039314,-125.74584443465695,7.039500322555944,1,True,2,telemetry_04;telemetry_24,0.39282869171920254,-0.4454552322060721
test,telemetry_04,UAV_0130,132,,-125.44059845046876,-125.87954429427218,-125.92079212330243,high,-126.04453561039314,-125.74584443465695,7.153615717139521,1,True,2,telemetry_04;telemetry_24,0.43894584380342394,-0.4801936728336784
test,telemetry_04,UAV_0130,146,,-125.39621188992436,-125.9108357507779,-125.91936978437036,high,-126.04453561039314,-125.74584443465695,8.193840367382247,1,True,2,telemetry_04;telemetry_24,0.5146238608535469,-0.5231578944460011
test,telemetry_04,UAV_0130,249,,-126.2720779811883,-125.93643785155533,-125.92932615689492,low,-126.04453561039314,-125.74584443465695,5.332586714824492,1,True,2,telemetry_04;telemetry_24,-0.33564012963297785,0.34275182429338713
test,telemetry_04,UAV_0131,49,,-126.26573624971414,-125.92648147903076,-125.90799107291376,low,-126.04453561039314,-125.74584443465695,5.183964579571435,1,True,2,telemetry_04;telemetry_24,-0.3392547706833824,0.3577451768003783
test,telemetry_04,UAV_0132,13,,-126.36135711178576,-125.92790381796284,-125.92790381796284,low,-126.04453561039314,-125.74584443465695,7.424894640031459,1,True,2,telemetry_04;telemetry_24,-0.43345329382292164,0.43345329382292164
test,telemetry_04,UAV_0134,14,,-126.31781567017484,-125.86247622708724,-125.90087937825336,low,-126.04453561039314,-125.74584443465695,6.404475839491872,1,True,2,telemetry_04;telemetry_24,-0.45533944308759544,0.4169362919214734
test,telemetry_04,UAV_0134,49,,-126.25671309576084,-125.86816558281556,-125.91510276757414,low,-126.04453561039314,-125.74584443465695,4.972501761771821,1,True,2,telemetry_04;telemetry_24,-0.38854751294528,0.3416103281867038
test,telemetry_04,UAV_0135,52,,-126.26704061010496,-125.88096663320424,-125.91368042864208,low,-126.04453561039314,-125.74584443465695,5.214533017735793,1,True,2,telemetry_04;telemetry_24,-0.3860739769007182,0.3533601814628753
test,telemetry_04,UAV_0135,57,,-126.34300892751882,-125.8653209049514,-125.88665598893256,low,-126.04453561039314,-125.74584443465695,6.9948943577933855,1,True,2,telemetry_04;telemetry_24,-0.4776880225674205,0.4563529385862637
test,telemetry_04,UAV_0135,65,,-125.47879479343828,-125.87669961640802,-125.87954429427218,high,-126.04453561039314,-125.74584443465695,6.258462386520747,1,True,2,telemetry_04;telemetry_24,0.3979048229697355,-0.4007495008338964
test,telemetry_04,UAV_0135,71,,-126.34122708794594,-125.95350591874023,-125.89234534466088,low,-126.04453561039314,-125.74584443465695,6.95313591956884,1,True,2,telemetry_04;telemetry_24,-0.38772116920570454,0.4488817432850567
test,telemetry_04,UAV_0135,95,,-126.38382549433888,-125.9236368011666,-125.89661236145712,low,-126.04453561039314,-125.74584443465695,7.951454145795734,1,True,2,telemetry_04;telemetry_24,-0.4601886931722845,0.48721313288176304
test,telemetry_04,UAV_0136,61,,-125.5977821675356,-125.9179474454383,-125.89945703932128,high,-126.04453561039314,-125.74584443465695,3.4699246380308537,1,True,2,telemetry_04;telemetry_24,0.3201652779027029,-0.30167487178567853
test,telemetry_04,UAV_0137,34,,-126.37254416726688,-125.83545178737776,-125.89945703932128,low,-126.04453561039314,-125.74584443465695,7.687069738357686,1,True,2,telemetry_04;telemetry_24,-0.537092379889117,0.4730871279456039
test,telemetry_04,UAV_0137,45,,-126.29123680421652,-125.89376768359296,-125.89945703932128,low,-126.04453561039314,-125.74584443465695,5.781584784040948,1,True,2,telemetry_04;telemetry_24,-0.397469120623569,0.39177976489524724
test,telemetry_04,UAV_0138,8,,-126.3044401694575,-125.8852336500005,-125.89519002252504,low,-126.04453561039314,-125.74584443465695,6.091013264674775,1,True,2,telemetry_04;telemetry_24,-0.41920651945699205,0.4092501469324503
test,telemetry_04,UAV_0138,18,,-126.35067781708293,-125.86674324388348,-125.89945703932128,low,-126.04453561039314,-125.74584443465695,7.174619208440199,1,True,2,telemetry_04;telemetry_24,-0.48393457319944844,0.45122077776164815
test,telemetry_04,UAV_0138,42,,-126.22170435616604,-125.9108357507779,-125.88665598893256,low,-126.04453561039314,-125.74584443465695,4.152051754972675,1,True,2,telemetry_04;telemetry_24,-0.3108686053881371,0.3350483672334832
test,telemetry_04,UAV_0138,67,,-126.34014371456068,-125.85251985456269,-125.85251985456269,low,-126.04453561039314,-125.74584443465695,6.927746439353687,1,True,2,telemetry_04;telemetry_24,-0.4876238599979956,0.4876238599979956
test,telemetry_04,UAV_0138,106,,-125.3496086065496,-125.9165251065062,-125.85536453242683,high,-126.04453561039314,-125.74584443465695,9.286015195846126,1,True,2,telemetry_04;telemetry_24,0.566916499956605,-0.5057559258772386
test,telemetry_04,UAV_0138,132,,-126.3309977686666,-125.92648147903076,-125.8781219553401,low,-126.04453561039314,-125.74584443465695,6.713405921590694,1,True,2,telemetry_04;telemetry_24,-0.4045162896358505,0.45287581332650007
test,telemetry_04,UAV_0139,17,,-125.54463450511815,-125.91936978437036,-125.87385493854389,high,-126.04453561039314,-125.74584443465695,4.715470764410873,1,True,2,telemetry_04;telemetry_24,0.3747352792522065,-0.32922043342573204
test,telemetry_04,UAV_0139,32,,-126.29245136549643,-125.84114114310609,-125.92221446223454,low,-126.04453561039314,-125.74584443465695,5.810048728241531,1,True,2,telemetry_04;telemetry_24,-0.45131022239034735,0.3702369032618975
test,telemetry_04,UAV_0139,41,,-125.44205733569166,-125.92079212330243,-125.9563505966044,high,-126.04453561039314,-125.74584443465695,7.119425900399381,1,True,2,telemetry_04;telemetry_24,0.4787347876107759,-0.5142932609127371
test,telemetry_04,UAV_0139,97,,-126.42615800596454,-125.9165251065062,-125.89519002252504,low,-126.04453561039314,-125.74584443465695,8.943540974773004,1,True,2,telemetry_04;telemetry_24,-0.5096328994583388,0.5309679834394956
test,telemetry_04,UAV_0139,119,,-125.37919012521348,-125.92505914009868,-125.92221446223454,high,-126.04453561039314,-125.74584443465695,8.592755242193833,1,True,2,telemetry_04;telemetry_24,0.5458690148851986,-0.5430243370210519
test,telemetry_04,UAV_0139,238,,-125.45447971104858,-125.94070486835156,-125.89661236145712,high,-126.04453561039314,-125.74584443465695,6.828300368203418,1,True,2,telemetry_04;telemetry_24,0.4862251573029823,-0.44213265040853855
test,telemetry_04,UAV_0140,6,,-125.37603210652864,-125.87527727747594,-125.91225808970998,high,-126.04453561039314,-125.74584443465695,8.666765231740445,1,True,2,telemetry_04;telemetry_24,0.4992451709473045,-0.536225983181339
test,telemetry_04,UAV_0140,36,,-126.24334360079756,-125.89661236145712,-125.94212720728363,low,-126.04453561039314,-125.74584443465695,4.659179935265457,1,True,2,telemetry_04;telemetry_24,-0.3467312393404427,0.3012163935139256
test,telemetry_04,UAV_0140,63,,-125.529052575254,-125.87527727747594,-125.92079212330243,high,-126.04453561039314,-125.74584443465695,5.080642279037125,1,True,2,telemetry_04;telemetry_24,0.3462247022219458,-0.39173954804843447
test,telemetry_04,UAV_0140,102,,-126.22214345035152,-125.87101026067972,-125.83402944844568,low,-126.04453561039314,-125.74584443465695,4.162342180495926,1,True,2,telemetry_04;telemetry_24,-0.3511331896717991,0.38811400190584777
test,telemetry_04,UAV_0140,242,,-125.41421191160244,-125.86816558281556,-125.858209210291,high,-126.04453561039314,-125.74584443465695,7.7719994762478475,1,True,2,telemetry_04;telemetry_24,0.453953671213128,-0.44399729868855786
test,telemetry_04,UAV_0140,292,,-126.23264067843776,-125.88950066679674,-125.8909230057288,low,-126.04453561039314,-125.74584443465695,4.408350775904038,1,True,2,telemetry_04;telemetry_24,-0.3431400116410259,0.3417176727089668
test,telemetry_04,UAV_0141,9,,-125.55615706638724,-125.87954429427218,-125.84398582097022,high,-126.04453561039314,-125.74584443465695,4.445432894410783,1,True,2,telemetry_04;telemetry_24,0.3233872278849361,-0.28782875458297497
test,telemetry_04,UAV_0142,74,,-126.32802108726553,-125.858209210291,-125.90514639504958,low,-126.04453561039314,-125.74584443465695,6.64364567589143,1,True,2,telemetry_04;telemetry_24,-0.4698118769745321,0.42287469221594165
test,telemetry_04,UAV_0142,84,,-126.361873878211,-125.87101026067972,-125.89661236145712,low,-126.04453561039314,-125.74584443465695,7.437005359297713,1,True,2,telemetry_04;telemetry_24,-0.49086361753127505,0.46526151675388405
test,telemetry_04,UAV_0143,17,,-126.37713952552008,-125.98479737524598,-125.92079212330243,low,-126.04453561039314,-125.74584443465695,7.7947646098017485,1,True,2,telemetry_04;telemetry_24,-0.3923421502741036,0.456347402217645
test,telemetry_04,UAV_0143,81,,-126.3571089436022,-125.95492825767234,-125.8852336500005,low,-126.04453561039314,-125.74584443465695,7.325336368141897,1,True,2,telemetry_04;telemetry_24,-0.40218068592986356,0.47187529360169833
