channel,age_band,count,mean,median,sd,min,q05,q25,q75,q95,max,iqr,effectively_constant
telemetry_13,>200,5566,7136.354572433811,7136.16623211393,6.101957005547304,7116.642294702671,7126.822308105578,7131.85168813802,7140.569610819934,7146.625566264369,7163.701303549529,8.717922681913478,False
telemetry_14,1–50,5000,-648.8153498138018,-648.8153498138018,4.049444324925229e-13,-648.8153498138033,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498137991,0.0,True
telemetry_14,51–100,5000,-648.8153498138018,-648.8153498138018,4.372786374606376e-13,-648.8153498138032,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498137988,0.0,True
telemetry_14,101–200,9154,-648.8153498138018,-648.8153498138018,5.261380302021719e-13,-648.815349813803,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498138007,-648.8153498137979,0.0,True
telemetry_14,>200,5566,-648.8153498138017,-648.8153498138018,4.57750696194696e-13,-648.8153498138025,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498137976,0.0,True
telemetry_15,1–50,5000,49989.8126120147,49992.00209601656,48.95136026103451,49836.76022349365,49898.49616004582,49960.28452233961,50024.3827011316,50066.14134626137,50126.76709063817,64.09817879199545,False
telemetry_15,51–100,5000,49995.5203813686,49998.78660375496,49.41139768168506,49800.0005270202,49904.29074642783,49965.11077443532,50028.5150831177,50073.60122090644,50143.23494123953,63.40430868238036,False
telemetry_15,101–200,9154,50040.415246062854,50025.12282924851,109.37894614000837,49762.13063837139,49907.852612990486,49980.79223891246,50069.39174224149,50242.15614793237,50860.48076387322,88.599503329031,False
telemetry_15,>200,5566,50109.86195809062,50091.148425011634,114.5760736572411,49838.178802384406,49954.31723939698,50023.76592770084,50186.501597407514,50306.64906172005,50939.36608566774,162.73566970667162,False
telemetry_16,1–50,5000,-694.0775236511927,-694.5992033130013,2.222247939058598,-701.5364328583291,-698.0678180856652,-696.3335106993333,-692.8648959266694,-691.1305885403375,-687.6619737676735,3.468614772663841,False
telemetry_16,51–100,5000,-694.4982666231168,-694.5992033130013,2.335060100645431,-701.5364328583291,-698.0678180856652,-696.3335106993333,-692.8648959266694,-691.1305885403375,-687.6619737676735,3.468614772663841,False
telemetry_16,101–200,9154,-696.058037360932,-696.3335106993333,3.045198010144917,-706.7393550173249,-701.5364328583291,-698.0678180856652,-694.5992033130013,-691.1305885403375,-687.6619737676735,3.468614772663841,False
telemetry_16,>200,5566,-697.1230785967399,-696.3335106993333,3.321219283081518,-706.7393550173249,-703.270740244661,-699.8021254719972,-694.5992033130013,-691.1305885403375,-689.3962811540056,5.202922158995875,False
telemetry_17,1–50,5000,40.415812282139726,40.41581228213973,1.471536889709378e-14,40.41581228213962,40.41581228213973,40.41581228213973,40.41581228213973,40.41581228213973,40.415812282139846,0.0,True
telemetry_17,51–100,5000,40.415812282139726,40.41581228213973,1.5031791622025558e-14,40.41581228213962,40.41581228213973,40.41581228213973,40.41581228213973,40.41581228213973,40.415812282139846,0.0,True
telemetry_17,101–200,9154,40.41581228213973,40.41581228213973,1.2109744294595786e-14,40.41581228213962,40.41581228213973,40.41581228213973,40.41581228213973,40.41581228213973,40.415812282139846,0.0,True
telemetry_17,>200,5566,40.415812282139726,40.41581228213973,1.479664573366558e-14,40.41581228213962,40.41581228213973,40.41581228213973,40.41581228213973,40.41581228213973,40.415812282139846,0.0,True
telemetry_18,1–50,5000,-103.19140897083406,-103.3210164665168,0.5939824283119884,-105.48396588180913,-103.33724923238006,-103.32867120266516,-103.14936515312775,-102.85734958693641,-98.86644338353868,0.17930604953741636,False
telemetry_18,51–100,5000,-103.16342862171616,-103.32110183697813,0.6439061292122562,-105.271876819111,-103.33705689606425,-103.32877053604508,-103.14660408791494,-102.85420582583161,-98.35119034549167,0.18216644813014682,False
telemetry_18,101–200,9154,-103.10149158303408,-103.31917220613188,0.7697322210931735,-105.11102688166936,-103.3369478135041,-103.32839982123822,-103.07099383135764,-101.8732425300823,-96.78776011627342,0.2574059898805814,False
telemetry_18,>200,5566,-103.00766798393103,-103.06797936800795,0.6528509784088689,-104.73359751716764,-103.33223230127118,-103.24434812423095,-102.97801210996494,-102.62443689165231,-96.74556118859034,0.2663360142660167,False
telemetry_19,1–50,5000,33503.87926840471,33504.24517554714,2.0654933595145892,33488.86839268081,33499.96251151204,33503.55027915879,33504.9024185014,33505.80558445117,33507.10869530187,1.3521393426053692,False
telemetry_19,51–100,5000,33504.10495957472,33504.4054940054,1.885596056954701,33490.09925279419,33502.20157917009,33503.68497954011,33505.07993071954,33505.93778804254,33507.5994422034,1.394951179434429,False
telemetry_19,101–200,9154,33504.95782616938,33505.065028838144,1.9314159909789048,33488.99555828047,33502.770001107376,33504.20705738783,33505.92141225626,33507.44348737967,33511.73291273046,1.7143548684325651,False
telemetry_19,>200,5566,33506.368847222584,33506.187924302525,2.270195761544912,33492.329747547665,33503.03176946896,33504.67605602414,33507.76920255883,33510.592969871024,33512.45198749248,3.0931465346948244,False
telemetry_20,1–50,5000,-164.89738417690256,-164.8973841769026,2.8424552027743753e-14,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,0.0,True
telemetry_20,51–100,5000,-164.89738417690256,-164.8973841769026,2.8424552027743753e-14,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,0.0,True
telemetry_20,101–200,9154,-164.89738417690262,-164.8973841769026,2.842326197782987e-14,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,0.0,True
telemetry_20,>200,5566,-164.89738417690256,-164.8973841769026,2.8424262928403896e-14,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,0.0,True
telemetry_21,1–50,5000,34960.465663329225,34960.90927305384,2.166943699446074,34944.722359464184,34956.34750649675,34960.17350425431,34961.497888093465,34962.3808106529,34963.705194492046,1.3243838391572353,False
telemetry_21,51–100,5000,34960.7118221388,34961.056426813746,1.9799393736597553,34945.75243578353,34958.70196665525,34960.320658014214,34961.79219561328,34962.67511817271,34963.85234825196,1.4715375990635948,False
telemetry_21,101–200,9154,34961.59135018218,34961.64504185337,2.013307253514628,34944.28089818447,34959.29058169488,34960.76211929393,34962.5279644128,34964.14665577177,34968.708422328855,1.7658451188690378,False
telemetry_21,>200,5566,34963.07916972008,34962.96942569252,2.3804645035835312,34948.98981850145,34959.58488921469,34961.35073433356,34964.58811705149,34967.531192249604,34969.29703736848,3.2373827179326327,False
telemetry_22,1–50,5000,22995.83577679356,22995.837612382857,74.56877873709864,22731.279663186444,22873.89475369626,22944.703339162625,23045.36938701214,23117.926152759537,23259.375789748665,100.66604784951414,False
telemetry_22,51–100,5000,23008.01185245096,23009.094646180693,76.87372509751832,22751.23805472825,22878.84793115919,22955.192420848827,23061.103009541443,23133.091616697504,23293.610986918902,105.91058869261542,False
telemetry_22,101–200,9154,23055.335485117434,23051.0509729255,98.71300129159167,22695.29628573517,22902.01860396739,22984.802224358835,23122.28931937761,23223.829457367647,23439.584040385205,137.48709501877602,False
telemetry_22,>200,5566,23090.80555884175,23091.55048276944,108.47483820114431,22764.786451906253,22918.22569198947,23007.564988434788,23171.493310204205,23269.68276932226,23439.584040385205,163.92832176941738,False
telemetry_23,1–50,5000,-17364.971167637406,-17365.876123723,17.686719525211842,-17421.695857433842,-17393.09947469432,-17377.38849101752,-17353.450205541292,-17332.754195856924,-17303.139642045295,23.938285476226156,False
telemetry_23,51–100,5000,-17367.815010782964,-17368.834448748537,17.633166033533925,-17419.439695188896,-17395.256044222024,-17380.13749844467,-17356.309852936723,-17336.502360881834,-17306.692815666665,23.827645507946727,False
telemetry_23,101–200,9154,-17386.51366854933,-17379.730498292665,39.79634536436255,-17696.109801075636,-17460.895102747392,-17397.32115163841,-17363.921808513896,-17342.37328678036,-17297.6715524006,33.39934312451442,False
telemetry_23,>200,5566,-17411.84504990553,-17405.57405700187,43.48426767736889,-17707.964497516994,-17487.803298648414,-17441.03221652274,-17377.887022106785,-17353.051543503097,-17319.71625291367,63.14519441595621,False
telemetry_24,1–50,5000,-3645.24538707257,-3645.291650673992,41.2011290507304,-4021.9958454678062,-3661.413325576926,-3649.715270955295,-3640.968291746899,-3625.635646621074,-3267.985549518976,8.74697920839617,False
telemetry_24,51–100,5000,-3645.6027011611627,-3644.7525586631855,41.27344481084075,-4021.884805771467,-3663.780495492632,-3649.464227859263,-3640.3123264128167,-3627.7132304981124,-3270.97731715318,9.151901446446118,False
telemetry_24,101–200,9154,-3648.4262553532158,-3643.3626864555026,44.070198979222155,-4042.556153630503,-3685.5826302185906,-3657.3136818442704,-3637.064690038251,-3628.5246156601297,-3258.7045741898737,20.248991806019603,False
telemetry_24,>200,5566,-3675.1732125723993,-3672.4004673196837,53.866257850491564,-4091.51453390016,-3737.4609492054683,-3700.589572672533,-3643.835431604267,-3630.131232658273,-3269.0122995627867,56.75414106826611,False
telemetry_25,1–50,5000,-171.7184555604766,-171.653088446512,0.578195915403286,-173.65840104373447,-172.74689531772427,-172.1088413095171,-171.31886968030824,-170.80234976890242,-169.98199461549322,0.7899716292088499,False
telemetry_25,51–100,5000,-171.8354017451237,-171.77462254331334,0.6264191252793718,-173.71916809213516,-172.92919646292628,-172.29114245471914,-171.34925320450856,-170.8631168173031,-170.31621338169697,0.9418892502105791,False
telemetry_25,101–200,9154,-172.34107578856992,-172.23037540631844,0.922765365467076,-175.26872782635257,-174.0533868583389,-172.98996351132698,-171.6227049223116,-171.0150344383048,-170.22506280909596,1.3672585890153641,False
telemetry_25,>200,5566,-172.6701122326718,-172.59497769672254,1.0286993058161717,-175.2991113505529,-174.35722210034234,-173.50648342273277,-171.835389591714,-171.07580148670547,-170.25544633329628,1.6710938310187657,False
telemetry_26,1–50,5000,-7489.44102706833,-7473.831954705208,125.46352480223759,-8255.985985064535,-7737.678708649823,-7482.586996689371,-7465.507488556333,-7431.628346583189,-6858.582305659086,17.07950813303796,False
telemetry_26,51–100,5000,-7483.185660126955,-7472.6837524777775,115.27653028434341,-8210.698907632357,-7661.9632022017,-7482.586996689371,-7464.215761050472,-7433.207124645907,-6798.725510057867,18.371235638898725,False
telemetry_26,101–200,9154,-7480.858783306501,-7469.813246909199,120.11527357201676,-8135.523180011119,-7607.238827342662,-7502.824060947847,-7457.900648799601,-7439.335654034821,-6615.5483557779735,44.923412148245916,False
telemetry_26,>200,5566,-7529.8186716145665,-7527.940984672905,128.4646613831725,-8046.668464845513,-7664.577049737219,-7585.92519715818,-7470.8179238582015,-7445.270424297858,-6497.197225281872,115.10727329997826,False
telemetry_27,1–50,5000,969.0302044744711,969.0302044744708,3.410946243329251e-13,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,0.0,True
telemetry_27,51–100,5000,969.0302044744711,969.0302044744708,3.410946243329251e-13,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,0.0,True
telemetry_27,101–200,9154,969.030204474471,969.0302044744708,2.27386095822639e-13,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,0.0,True
telemetry_27,>200,5566,969.030204474471,969.0302044744708,2.2739410342723117e-13,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,0.0,True
telemetry_28,1–50,5000,-9729.821908941798,-9726.430826846004,45.18860067099292,-9883.41516286184,-9808.356784319702,-9760.621533764628,-9696.68055615294,-9660.853422141068,-9571.930194195516,63.94097761168814,False
telemetry_28,51–100,5000,-9738.114232833914,-9734.17325597144,49.42810813853737,-9908.844382928375,-9823.96167498241,-9772.684183448226,-9701.997201282826,-9662.735921896545,-9583.21933572022,70.68698216539997,False
telemetry_28,101–200,9154,-9775.398925950622,-9766.334382931243,70.9416112436314,-10004.352637101596,-9904.380367644166,-9824.810609524944,-9719.731806800099,-9674.2905180985,-9593.841371212178,105.07880272484545,False
telemetry_28,>200,5566,-9793.417441582687,-9788.37785143957,74.416256239862,-10014.463715989665,-9917.849578783536,-9851.51442518282,-9735.033090160716,-9679.491558427857,-9606.58046147106,116.48133502210476,False
