split,uav_id,row_count,robust_extreme_rows,jump_rows,permanent_shift_channels,maximum_shift_score,history_length,unusual_history_length,robust_flags_per_100_cycles,jump_flags_per_100_cycles,nearest_history_rmse,anomaly_priority_score
test,UAV_0152,38,10.0,28.0,0,1.360165261766778,38,False,26.31578947368421,73.6842105263158,1.69412408210068,0.45299999999999996
test,UAV_0161,78,5.0,46.0,0,0.8158544110854091,78,False,6.410256410256411,58.97435897435897,0.9115714057196849,0.44700000000000006
test,UAV_0120,207,15.0,95.0,0,2.8695647601215146,207,False,7.246376811594203,45.893719806763286,0.873710438236573,0.437
test,UAV_0138,133,30.0,68.0,0,1.1876372194801414,133,False,22.55639097744361,51.12781954887218,1.4714149468655204,0.43100000000000005
test,UAV_0143,133,15.0,88.0,0,1.216666666667255,133,False,11.278195488721805,66.16541353383458,1.2268362247270619,0.42699999999999994
test,UAV_0185,118,15.0,72.0,0,1.2620566070079504,118,False,12.711864406779661,61.016949152542374,1.2603869576165327,0.425
test,UAV_0160,112,20.0,42.0,0,1.1882139769379503,112,False,17.857142857142858,37.5,1.2056717823746261,0.422
test,UAV_0122,119,0.0,57.0,0,0.9839551789664134,119,False,0.0,47.89915966386555,0.825684160328513,0.421
test,UAV_0173,109,10.0,38.0,0,1.262306256267678,109,False,9.174311926605505,34.862385321100916,1.001486582292914,0.417
test,UAV_0137,47,10.0,22.0,0,0.8889999739018907,47,False,21.27659574468085,46.808510638297875,1.407812515486182,0.41500000000000004
test,UAV_0135,144,163.0,60.0,0,1.6758690462885963,144,False,113.19444444444444,41.666666666666664,2.603708188574256,0.413
test,UAV_0144,146,25.0,49.0,0,1.2333333333343768,146,False,17.123287671232877,33.56164383561644,1.2030245197730904,0.413
test,UAV_0196,358,35.0,208.0,0,2.8695647601215146,358,False,9.776536312849162,58.100558659217874,1.2141322119302533,0.413
test,UAV_0184,76,15.0,38.0,0,1.553196436253408,76,False,19.736842105263158,50.0,1.4948161595729534,0.41100000000000003
test,UAV_0189,120,20.0,66.0,0,1.2560963918528976,120,False,16.666666666666668,55.0,1.4466334444082896,0.41100000000000003
test,UAV_0167,186,25.0,92.0,0,1.3333333333344435,186,False,13.440860215053764,49.46236559139785,1.242127321118369,0.4109999999999999
test,UAV_0155,203,30.0,60.0,0,1.2806532954545526,203,False,14.77832512315271,29.55665024630542,1.079906854259633,0.409
test,UAV_0169,105,10.0,30.0,0,1.2632377119863094,105,False,9.523809523809524,28.571428571428573,0.9374934082792521,0.406
test,UAV_0197,95,0.0,36.0,0,1.2752266828995504,95,False,0.0,37.89473684210526,0.8173691646138169,0.40499999999999997
test,UAV_0165,79,0.0,28.0,0,1.0076357770861986,79,False,0.0,35.44303797468354,0.8166828534443656,0.404
test,UAV_0117,230,10.0,71.0,0,1.287363859821399,230,False,4.3478260869565215,30.869565217391305,0.8381766514239567,0.403
test,UAV_0154,50,10.0,19.0,0,1.1000000000007326,50,False,20.0,38.0,1.3495752656593234,0.403
test,UAV_0190,206,25.0,62.0,0,1.2326321810394345,206,False,12.135922330097088,30.097087378640776,1.0722044148154868,0.403
test,UAV_0104,68,10.0,20.0,0,1.12797780895889,68,False,14.705882352941176,29.41176470588235,1.106479931732529,0.389
test,UAV_0109,238,15.0,54.0,0,1.2602722830031643,238,False,6.302521008403361,22.689075630252102,0.8336526621728009,0.389
test,UAV_0101,233,5.0,90.0,0,2.8695647601215146,233,False,2.1459227467811157,38.62660944206009,0.8640716178357867,0.38899999999999996
test,UAV_0176,180,20.0,54.0,0,1.2154976910736603,180,False,11.11111111111111,30.0,1.0811042875905488,0.387
test,UAV_0178,279,20.0,116.0,0,2.8695647601215146,279,False,7.168458781362007,41.577060931899645,1.0567837504243582,0.387
test,UAV_0158,119,10.0,21.0,0,1.251404144327847,119,False,8.403361344537815,17.647058823529413,0.8351064422119947,0.383
test,UAV_0145,88,10.0,28.0,0,1.2604129295306516,88,False,11.363636363636363,31.818181818181817,1.1801825721441628,0.377
test,UAV_0102,124,20.0,42.0,0,1.1833333333343437,124,False,16.129032258064516,33.87096774193548,1.3487951602872956,0.37300000000000005
test,UAV_0112,146,20.0,36.0,0,1.270537274549897,146,False,13.698630136986301,24.65753424657534,1.1116547397113226,0.373
test,UAV_0140,313,30.0,148.0,0,2.8695647601215146,313,False,9.584664536741213,47.284345047923324,1.2885192340508924,0.36700000000000005
test,UAV_0156,162,15.0,32.0,0,1.1166666666675216,162,False,9.25925925925926,19.753086419753085,0.9486273204950446,0.367
test,UAV_0153,108,249.0,29.0,0,1.8345767472483197,108,False,230.55555555555554,26.85185185185185,3.2104541267637874,0.36300000000000004
test,UAV_0193,158,15.0,33.0,0,1.2173968541970401,158,False,9.49367088607595,20.88607594936709,1.006618600221847,0.36100000000000004
test,UAV_0188,41,0.0,10.0,0,1.065667161627545,41,False,0.0,24.390243902439025,0.8146811024177378,0.361
test,UAV_0157,158,25.0,50.0,0,1.2307550838010952,158,False,15.822784810126583,31.645569620253166,1.3668817066943257,0.359
test,UAV_0146,180,11.0,55.0,0,2.8695647601215146,180,False,6.111111111111111,30.555555555555557,1.011356026475952,0.35700000000000004
test,UAV_0131,152,5.0,38.0,0,1.2003764941227895,152,False,3.289473684210526,25.0,0.8512498575965219,0.352
test,UAV_0113,65,10.0,20.0,0,1.2564015753173174,65,False,15.384615384615385,30.76923076923077,1.3747847972179252,0.35100000000000003
test,UAV_0108,192,15.0,34.0,0,1.2548237230419135,192,False,7.8125,17.708333333333332,0.8893919877574981,0.35
test,UAV_0187,218,10.0,46.0,0,1.2666666666676214,218,False,4.587155963302752,21.10091743119266,0.8558784360188125,0.34500000000000003
test,UAV_0142,87,10.0,20.0,0,1.0719047220927196,87,False,11.494252873563218,22.988505747126435,1.188088897881063,0.341
test,UAV_0119,115,10.0,34.0,0,1.1064456442698287,115,False,8.695652173913043,29.565217391304348,1.1761578289979324,0.335
test,UAV_0110,131,5.0,24.0,0,1.1082615732219572,131,False,3.816793893129771,18.3206106870229,0.8476075841789938,0.333
test,UAV_0136,90,5.0,19.0,0,1.4166666666677212,90,False,5.555555555555555,21.11111111111111,0.9590123490523167,0.327
test,UAV_0183,168,20.0,42.0,0,1.1817924967253817,168,False,11.904761904761905,25.0,1.2619153970216634,0.326
test,UAV_0141,101,5.0,22.0,0,1.0570311223505875,101,False,4.9504950495049505,21.782178217821784,0.9844257889200521,0.325
test,UAV_0166,122,236.0,20.0,0,1.4378480268266751,122,False,193.44262295081967,16.39344262295082,2.6944310422814968,0.31799999999999995
test,UAV_0129,89,98.0,14.0,0,1.4337085501498652,89,False,110.11235955056179,15.730337078651685,2.306932934453458,0.314
test,UAV_0191,56,5.0,12.0,0,1.3257447268032494,56,False,8.928571428571429,21.428571428571427,1.1784767764923556,0.31399999999999995
test,UAV_0133,180,0.0,20.0,0,1.3380095008914206,180,False,0.0,11.11111111111111,0.8166828534443656,0.30999999999999994
test,UAV_0151,118,10.0,24.0,0,1.3140084157176792,118,False,8.474576271186441,20.338983050847457,1.1033830688500244,0.309
test,UAV_0127,104,0.0,18.0,0,1.2333333333340437,104,False,0.0,17.307692307692307,0.8454757429752018,0.308
test,UAV_0107,158,20.0,40.0,0,1.0666666666671551,158,False,12.658227848101266,25.31645569620253,1.4939107495263204,0.307
test,UAV_0125,169,15.0,29.0,0,1.1333333333343103,169,False,8.875739644970414,17.159763313609467,1.0965795061543329,0.30500000000000005
test,UAV_0134,105,10.0,20.0,0,1.1783657629813609,105,False,9.523809523809524,19.047619047619047,1.2048946881875617,0.304
test,UAV_0148,179,15.0,30.0,0,1.1948120789299883,179,False,8.379888268156424,16.75977653631285,1.0699963316531422,0.30300000000000005
test,UAV_0179,170,15.0,27.0,0,1.218004215101215,170,False,8.823529411764707,15.882352941176471,1.0870650778997992,0.30100000000000005
test,UAV_0159,149,10.0,21.0,0,1.216666666667255,149,False,6.7114093959731544,14.093959731543624,1.01818566602228,0.29100000000000004
test,UAV_0147,56,5.0,10.0,0,0.9598864092337726,56,False,8.928571428571429,17.857142857142858,1.2208176840218066,0.28200000000000003
test,UAV_0111,103,5.0,10.0,0,1.056167993478145,103,False,4.854368932038835,9.70873786407767,0.9975902815866735,0.275
test,UAV_0114,169,5.0,12.0,0,1.3166666666676548,169,False,2.9585798816568047,7.100591715976331,0.881145825831464,0.275
test,UAV_0198,182,10.0,19.0,0,1.3833333333341438,182,False,5.4945054945054945,10.43956043956044,1.037050679367969,0.271
test,UAV_0106,64,5.0,10.0,0,1.2595943940590093,64,False,7.8125,15.625,1.1228086957795163,0.268
test,UAV_0186,174,5.0,12.0,0,1.0265433279799678,174,False,2.8735632183908044,6.896551724137931,0.8991311097932536,0.267
test,UAV_0126,130,0.0,4.0,0,1.4196201159452388,130,False,0.0,3.076923076923077,0.865118362530822,0.261
test,UAV_0170,84,5.0,10.0,0,0.9000000000009325,84,False,5.9523809523809526,11.904761904761905,1.1031176818311657,0.255
test,UAV_0132,120,5.0,10.0,0,1.2666666666672883,120,False,4.166666666666667,8.333333333333334,1.056160809466318,0.253
test,UAV_0163,137,5.0,10.0,0,1.2282812311968223,137,False,3.6496350364963503,7.299270072992701,1.0567513977994616,0.24299999999999997
test,UAV_0150,147,5.0,10.0,0,1.1561387967370482,147,False,3.401360544217687,6.802721088435374,1.049435733680237,0.23899999999999996
train,UAV_0024,494,203.0,371.0,2,3.6574427621004872,494,True,41.093117408906885,75.10121457489879,1.6125627089382515,0.7809999999999999
train,UAV_0055,525,200.0,345.0,1,3.5428319024933055,525,True,38.095238095238095,65.71428571428571,1.6908165153954064,0.7529999999999999
train,UAV_0096,491,90.0,240.0,0,2.8695647601215146,491,True,18.329938900203665,48.87983706720978,0.8381766514239567,0.749
train,UAV_0010,481,188.0,294.0,0,2.8695647601215146,481,True,39.08523908523909,61.12266112266112,1.388022518588592,0.669
train,UAV_0007,424,86.0,200.0,0,2.8695647601215146,424,True,20.28301886792453,47.16981132075472,1.2440623304360245,0.612
train,UAV_0018,447,83.0,232.0,0,3.1938367460678787,447,True,18.568232662192393,51.90156599552573,1.2440623304360245,0.6100000000000001
train,UAV_0071,409,163.0,315.0,1,3.096346551247748,409,False,39.85330073349633,77.01711491442543,1.3929727012580935,0.587
train,UAV_0016,344,84.0,252.0,0,2.8695647601215146,344,False,24.41860465116279,73.25581395348837,0.8878499055210217,0.585
train,UAV_0027,320,81.0,259.0,2,3.261846118536539,320,False,25.3125,80.9375,1.3497126418553516,0.581
train,UAV_0073,215,90.0,134.0,2,4.214285714286471,215,False,41.86046511627907,62.325581395348834,1.5941765633698706,0.567
train,UAV_0042,193,70.0,136.0,2,4.060704889181649,193,False,36.26943005181347,70.46632124352331,1.6277203938438918,0.563
train,UAV_0019,229,50.0,122.0,0,2.8695647601215146,229,False,21.83406113537118,53.275109170305676,0.8690190479821002,0.5569999999999999
train,UAV_0094,392,110.0,285.0,0,2.8695647601215146,392,False,28.06122448979592,72.70408163265306,0.9874745477327782,0.541
train,UAV_0034,459,61.0,185.0,0,2.8695647601215146,459,True,13.289760348583878,40.305010893246184,1.4005036372199602,0.539
train,UAV_0059,299,64.0,193.0,0,2.8695647601215146,299,False,21.40468227424749,64.54849498327759,0.9096599072123057,0.5349999999999999
train,UAV_0057,215,45.0,105.0,0,2.8695647601215146,215,False,20.930232558139537,48.83720930232558,0.8779138916036154,0.525
train,UAV_0043,321,49.0,139.0,0,2.8695647601215146,321,False,15.264797507788161,43.30218068535826,0.8410974383146037,0.517
train,UAV_0097,275,55.0,93.0,0,2.8695647601215146,275,False,20.0,33.81818181818182,0.8640716178357867,0.516
train,UAV_0041,295,67.0,122.0,0,2.8695647601215146,295,False,22.71186440677966,41.355932203389834,0.9020829660274365,0.511
train,UAV_0077,255,67.0,82.0,0,2.8695647601215146,255,False,26.274509803921568,32.15686274509804,0.9027831912443314,0.5109999999999999
train,UAV_0085,266,719.0,370.0,0,2.8695647601215146,266,False,270.30075187969925,139.09774436090225,2.8871934088096305,0.502
train,UAV_0072,232,636.0,237.0,0,2.8695647601215146,232,False,274.13793103448273,102.15517241379311,2.8871934088096305,0.5
train,UAV_0089,207,533.0,296.0,0,2.8695647601215146,207,False,257.487922705314,142.9951690821256,3.418228958953576,0.499
train,UAV_0049,256,40.0,139.0,0,2.8695647601215146,256,False,15.625,54.296875,0.8967629321930959,0.49700000000000005
train,UAV_0039,288,64.0,130.0,0,2.8695647601215146,288,False,22.22222222222222,45.138888888888886,0.9269507135123494,0.497
train,UAV_0025,193,39.0,36.0,0,1.7255434782609083,193,False,20.207253886010363,18.65284974093264,0.8146811024177378,0.495
train,UAV_0062,246,59.0,155.0,0,2.8695647601215146,246,False,23.983739837398375,63.00813008130081,1.0962499276232058,0.48900000000000005
train,UAV_0001,259,708.0,328.0,0,1.6926418864094284,259,False,273.35907335907336,126.64092664092664,5.980671446036535,0.48699999999999993
train,UAV_0078,221,567.0,301.0,0,2.0079836187884865,221,False,256.56108597285066,136.19909502262445,4.401438913575842,0.485
train,UAV_0035,231,563.0,228.0,0,1.3333333333344435,231,False,243.7229437229437,98.7012987012987,3.6627942184736617,0.481
train,UAV_0017,312,87.0,253.0,0,2.8695647601215146,312,False,27.884615384615383,81.08974358974359,1.4177408161854588,0.479
train,UAV_0098,307,47.0,162.0,0,2.8695647601215146,307,False,15.309446254071661,52.76872964169381,0.9132019105435772,0.47700000000000004
train,UAV_0068,201,631.0,139.0,0,2.168138586956531,201,False,313.9303482587065,69.1542288557214,3.5864714790788574,0.475
train,UAV_0076,153,363.0,129.0,0,1.2452025584828446,153,False,237.2549019607843,84.31372549019608,3.8178665029839323,0.475
train,UAV_0086,341,49.0,82.0,0,1.4016173936789755,341,False,14.36950146627566,24.04692082111437,0.8372906577409404,0.475
train,UAV_0030,218,68.0,30.0,0,2.1905570652174817,218,False,31.192660550458715,13.761467889908257,0.8765515224029212,0.4710000000000001
train,UAV_0038,201,49.0,147.0,0,2.8695647601215146,201,False,24.378109452736318,73.13432835820896,1.2975587317342132,0.471
train,UAV_0045,205,32.0,117.0,0,2.8695647601215146,205,False,15.609756097560975,57.073170731707314,0.9411586969649515,0.47000000000000003
train,UAV_0079,166,20.0,51.0,0,1.1022336779046977,166,False,12.048192771084338,30.72289156626506,0.8627818019020225,0.46699999999999997
train,UAV_0002,253,41.0,144.0,0,2.8695647601215146,253,False,16.205533596837945,56.91699604743083,0.9697789483111873,0.46299999999999997
train,UAV_0060,190,29.0,106.0,0,2.8695647601215146,190,False,15.263157894736842,55.78947368421053,0.9411586969649515,0.45999999999999996
train,UAV_0064,195,51.0,14.0,0,2.1216032608696787,195,False,26.153846153846153,7.17948717948718,0.8634198512809047,0.449
train,UAV_0046,204,42.0,54.0,0,2.8695647601215146,204,False,20.58823529411765,26.470588235294116,0.9350385704999723,0.44700000000000006
train,UAV_0051,190,40.0,34.0,0,1.4572010869565997,190,False,21.05263157894737,17.894736842105264,0.8928554208939501,0.44700000000000006
train,UAV_0020,338,79.0,170.0,0,2.8695647601215146,338,False,23.37278106508876,50.29585798816568,1.260924740809051,0.433
train,UAV_0082,285,51.0,150.0,0,2.8695647601215146,285,False,17.894736842105264,52.63157894736842,1.1635963710254262,0.421
train,UAV_0037,324,54.0,114.0,0,2.8695647601215146,324,False,16.666666666666668,35.18518518518518,0.99339017405115,0.41900000000000004
train,UAV_0047,269,32.0,58.0,0,1.4964430871419518,269,False,11.895910780669144,21.561338289962826,0.8770521702332225,0.41900000000000004
train,UAV_0008,267,28.0,57.0,0,1.007838262119122,267,False,10.486891385767791,21.348314606741575,0.8737317155395543,0.41600000000000004
train,UAV_0081,347,50.0,93.0,0,2.8695647601215146,347,False,14.409221902017292,26.80115273775216,0.9273761933658434,0.413
train,UAV_0088,322,42.0,141.0,0,2.8695647601215146,322,False,13.043478260869565,43.7888198757764,0.9886581901982151,0.41100000000000003
train,UAV_0021,220,26.0,54.0,0,2.8695647601215146,220,False,11.818181818181818,24.545454545454547,0.9262462633437747,0.391
train,UAV_0033,231,35.0,45.0,0,2.8695647601215146,231,False,15.151515151515152,19.48051948051948,0.9168500151083306,0.391
train,UAV_0075,259,38.0,111.0,0,2.8695647601215146,259,False,14.671814671814673,42.857142857142854,1.104582956350743,0.38899999999999996
train,UAV_0084,226,40.0,78.0,0,2.8695647601215146,226,False,17.699115044247787,34.51327433628319,1.1726832091814694,0.383
train,UAV_0048,174,41.0,36.0,0,1.861752717391404,174,False,23.563218390804597,20.689655172413794,1.2326554913618766,0.381
train,UAV_0009,406,88.0,100.0,0,2.8695647601215146,406,False,21.67487684729064,24.63054187192118,1.2585051640585296,0.38099999999999995
train,UAV_0090,181,12.0,38.0,0,1.3536949651909993,181,False,6.629834254143646,20.994475138121548,0.881145825831464,0.379
train,UAV_0005,213,28.0,49.0,0,1.5666666666681544,213,False,13.145539906103286,23.004694835680752,0.9562425413211884,0.377
train,UAV_0015,202,16.0,31.0,0,1.173743110212196,202,False,7.920792079207921,15.346534653465346,0.8650742746966491,0.376
train,UAV_0044,180,32.0,48.0,0,1.316771627875692,180,False,17.77777777777778,26.666666666666668,1.1987549706753187,0.37100000000000005
train,UAV_0022,192,36.0,77.0,0,1.2849011728157467,192,False,18.75,40.104166666666664,1.4222994979976573,0.36900000000000005
train,UAV_0053,164,16.0,34.0,0,1.149517016335951,164,False,9.75609756097561,20.73170731707317,0.9154281962003414,0.368
train,UAV_0026,243,12.0,38.0,0,1.3500000000008991,243,False,4.938271604938271,15.637860082304528,0.8611672659862807,0.367
train,UAV_0013,185,37.0,32.0,0,1.5701324630376654,185,False,20.0,17.2972972972973,1.066507706018145,0.366
train,UAV_0063,231,24.0,54.0,0,1.2376041944295118,231,False,10.38961038961039,23.376623376623378,0.9462969654577258,0.363
train,UAV_0058,178,16.0,32.0,0,1.2143302714268194,178,False,8.98876404494382,17.97752808988764,0.9058950288109712,0.35600000000000004
train,UAV_0050,161,8.0,20.0,0,1.089316236659816,161,False,4.968944099378882,12.422360248447205,0.8493380696250805,0.355
train,UAV_0032,189,44.0,16.0,0,2.044067448602171,189,False,23.280423280423282,8.465608465608465,0.9959403130043526,0.349
train,UAV_0011,197,20.0,78.0,0,2.8695647601215146,197,False,10.152284263959391,39.59390862944162,1.1333923944931712,0.34500000000000003
train,UAV_0095,166,28.0,56.0,0,1.1267402801278108,166,False,16.867469879518072,33.734939759036145,1.4923544008278362,0.34500000000000003
train,UAV_0006,278,16.0,34.0,0,1.2333333333343768,278,False,5.755395683453237,12.23021582733813,0.8649339816308521,0.344
train,UAV_0014,207,8.0,29.0,0,1.1019029302462302,207,False,3.864734299516908,14.009661835748792,0.8651192006271974,0.32699999999999996
train,UAV_0066,165,16.0,42.0,0,1.0956250859983934,165,False,9.696969696969697,25.454545454545453,1.106601817763307,0.325
train,UAV_0091,156,4.0,16.0,0,1.1943500662991373,156,False,2.5641025641025643,10.256410256410257,0.836957197443492,0.325
train,UAV_0067,263,12.0,27.0,0,1.2068297916498127,263,False,4.562737642585551,10.26615969581749,0.8649339816308521,0.31799999999999995
train,UAV_0052,222,4.0,26.0,0,1.5730060242232435,222,False,1.8018018018018018,11.711711711711711,0.8437583893419672,0.317
train,UAV_0036,324,8.0,45.0,0,1.2151027783177797,324,False,2.4691358024691357,13.88888888888889,0.8749048222586409,0.31100000000000005
train,UAV_0100,152,16.0,27.0,0,1.9793267145557958,152,False,10.526315789473685,17.763157894736842,1.0786317461387624,0.309
train,UAV_0028,200,12.0,32.0,0,1.2993248079114483,200,False,6.0,16.0,0.9413714892924282,0.305
train,UAV_0054,194,25.0,24.0,0,1.3654891304347754,194,False,12.88659793814433,12.371134020618557,1.037050679367969,0.301
train,UAV_0065,234,12.0,44.0,0,1.2061626920776736,234,False,5.128205128205129,18.803418803418804,0.9964543248907352,0.29500000000000004
train,UAV_0004,272,28.0,56.0,0,1.3333333333351096,272,False,10.294117647058824,20.58823529411765,1.2002343921432008,0.293
train,UAV_0074,193,13.0,28.0,0,1.1452940634818272,193,False,6.7357512953367875,14.507772020725389,0.988837464807319,0.29100000000000004
train,UAV_0003,222,8.0,27.0,0,1.3505869798694443,222,False,3.6036036036036037,12.162162162162161,0.8924521870270035,0.28700000000000003
train,UAV_0029,223,16.0,36.0,0,1.2267088221318259,223,False,7.174887892376682,16.143497757847534,1.0899907897619863,0.28099999999999997
train,UAV_0093,171,8.0,19.0,0,0.9905617136291874,171,False,4.678362573099415,11.11111111111111,0.9154281962003414,0.27599999999999997
train,UAV_0061,199,21.0,18.0,0,1.347581585537857,199,False,10.552763819095478,9.045226130653266,0.9994196631573107,0.273
train,UAV_0099,145,0.0,0.0,0,1.0666666666674882,145,False,0.0,0.0,0.8650742746966491,0.27199999999999996
train,UAV_0040,188,8.0,16.0,0,1.1138116499459763,188,False,4.25531914893617,8.51063829787234,0.8939938894720311,0.271
train,UAV_0031,183,4.0,8.0,0,1.4458259791843906,183,False,2.185792349726776,4.371584699453552,0.8737317155395543,0.27
train,UAV_0069,170,16.0,34.0,0,1.2184790500792648,170,False,9.411764705882353,20.0,1.309965861279563,0.269
train,UAV_0087,172,13.0,26.0,0,1.1766304347825647,172,False,7.558139534883721,15.116279069767442,1.1112798921033833,0.267
train,UAV_0012,170,8.0,17.0,0,1.2905850032961663,170,False,4.705882352941177,10.0,0.9335979104873624,0.259
train,UAV_0056,195,8.0,12.0,0,1.2238067228978606,195,False,4.102564102564102,6.153846153846154,0.9058950288109712,0.254
train,UAV_0070,172,8.0,23.0,0,1.2771204831440948,172,False,4.651162790697675,13.372093023255815,1.039953373685758,0.24499999999999997
train,UAV_0023,196,12.0,24.0,0,1.1193353020766394,196,False,6.122448979591836,12.244897959183673,1.1597211619806587,0.238
train,UAV_0092,158,8.0,16.0,0,1.0608762481599316,158,False,5.063291139240507,10.126582278481013,1.0760977559518607,0.229
train,UAV_0080,147,8.0,18.0,0,1.2333333333343768,147,False,5.442176870748299,12.244897959183673,1.168611043706211,0.22799999999999998
train,UAV_0083,181,8.0,18.0,0,1.2216841355103947,181,False,4.419889502762431,9.94475138121547,1.0268542705709018,0.219
