split,uav_id,history_length,lower_iqr_bound,upper_iqr_bound,unusual_history_length
train,UAV_0049,256,54.75,414.75,False
train,UAV_0050,161,54.75,414.75,False
train,UAV_0051,190,54.75,414.75,False
train,UAV_0052,222,54.75,414.75,False
train,UAV_0053,164,54.75,414.75,False
train,UAV_0054,194,54.75,414.75,False
train,UAV_0055,525,54.75,414.75,True
train,UAV_0056,195,54.75,414.75,False
train,UAV_0057,215,54.75,414.75,False
train,UAV_0058,178,54.75,414.75,False
train,UAV_0059,299,54.75,414.75,False
train,UAV_0060,190,54.75,414.75,False
train,UAV_0061,199,54.75,414.75,False
train,UAV_0062,246,54.75,414.75,False
train,UAV_0063,231,54.75,414.75,False
train,UAV_0064,195,54.75,414.75,False
train,UAV_0065,234,54.75,414.75,False
train,UAV_0066,165,54.75,414.75,False
train,UAV_0067,263,54.75,414.75,False
train,UAV_0068,201,54.75,414.75,False
train,UAV_0069,170,54.75,414.75,False
train,UAV_0070,172,54.75,414.75,False
train,UAV_0071,409,54.75,414.75,False
train,UAV_0072,232,54.75,414.75,False
train,UAV_0073,215,54.75,414.75,False
train,UAV_0074,193,54.75,414.75,False
train,UAV_0075,259,54.75,414.75,False
train,UAV_0076,153,54.75,414.75,False
train,UAV_0077,255,54.75,414.75,False
train,UAV_0078,221,54.75,414.75,False
train,UAV_0079,166,54.75,414.75,False
train,UAV_0080,147,54.75,414.75,False
train,UAV_0081,347,54.75,414.75,False
train,UAV_0082,285,54.75,414.75,False
train,UAV_0083,181,54.75,414.75,False
train,UAV_0084,226,54.75,414.75,False
train,UAV_0085,266,54.75,414.75,False
train,UAV_0086,341,54.75,414.75,False
train,UAV_0087,172,54.75,414.75,False
train,UAV_0088,322,54.75,414.75,False
train,UAV_0089,207,54.75,414.75,False
train,UAV_0090,181,54.75,414.75,False
train,UAV_0091,156,54.75,414.75,False
train,UAV_0092,158,54.75,414.75,False
train,UAV_0093,171,54.75,414.75,False
train,UAV_0094,392,54.75,414.75,False
train,UAV_0095,166,54.75,414.75,False
train,UAV_0096,491,54.75,414.75,True
train,UAV_0097,275,54.75,414.75,False
train,UAV_0098,307,54.75,414.75,False
train,UAV_0099,145,54.75,414.75,False
train,UAV_0100,152,54.75,414.75,False
test,UAV_0101,233,-49.5,362.5,False
test,UAV_0102,124,-49.5,362.5,False
test,UAV_0103,234,-49.5,362.5,False
test,UAV_0104,68,-49.5,362.5,False
test,UAV_0105,138,-49.5,362.5,False
test,UAV_0106,64,-49.5,362.5,False
test,UAV_0107,158,-49.5,362.5,False
test,UAV_0108,192,-49.5,362.5,False
test,UAV_0109,238,-49.5,362.5,False
test,UAV_0110,131,-49.5,362.5,False
test,UAV_0111,103,-49.5,362.5,False
test,UAV_0112,146,-49.5,362.5,False
test,UAV_0113,65,-49.5,362.5,False
test,UAV_0114,169,-49.5,362.5,False
test,UAV_0115,112,-49.5,362.5,False
test,UAV_0116,126,-49.5,362.5,False
test,UAV_0117,230,-49.5,362.5,False
test,UAV_0118,244,-49.5,362.5,False
test,UAV_0119,115,-49.5,362.5,False
test,UAV_0120,207,-49.5,362.5,False
test,UAV_0121,263,-49.5,362.5,False
test,UAV_0122,119,-49.5,362.5,False
test,UAV_0123,405,-49.5,362.5,True
test,UAV_0124,475,-49.5,362.5,True
test,UAV_0125,169,-49.5,362.5,False
test,UAV_0126,130,-49.5,362.5,False
test,UAV_0127,104,-49.5,362.5,False
test,UAV_0128,70,-49.5,362.5,False
test,UAV_0129,89,-49.5,362.5,False
test,UAV_0130,333,-49.5,362.5,False
test,UAV_0131,152,-49.5,362.5,False
test,UAV_0132,120,-49.5,362.5,False
test,UAV_0133,180,-49.5,362.5,False
test,UAV_0134,105,-49.5,362.5,False
test,UAV_0135,144,-49.5,362.5,False
test,UAV_0136,90,-49.5,362.5,False
test,UAV_0137,47,-49.5,362.5,False
test,UAV_0138,133,-49.5,362.5,False
test,UAV_0139,310,-49.5,362.5,False
test,UAV_0140,313,-49.5,362.5,False
test,UAV_0141,101,-49.5,362.5,False
test,UAV_0142,87,-49.5,362.5,False
test,UAV_0143,133,-49.5,362.5,False
test,UAV_0144,146,-49.5,362.5,False
test,UAV_0145,88,-49.5,362.5,False
test,UAV_0146,180,-49.5,362.5,False
test,UAV_0147,56,-49.5,362.5,False
test,UAV_0148,179,-49.5,362.5,False
test,UAV_0149,211,-49.5,362.5,False
test,UAV_0150,147,-49.5,362.5,False
test,UAV_0151,118,-49.5,362.5,False
test,UAV_0152,38,-49.5,362.5,False
test,UAV_0153,108,-49.5,362.5,False
test,UAV_0154,50,-49.5,362.5,False
test,UAV_0155,203,-49.5,362.5,False
test,UAV_0156,162,-49.5,362.5,False
test,UAV_0157,158,-49.5,362.5,False
test,UAV_0158,119,-49.5,362.5,False
test,UAV_0159,149,-49.5,362.5,False
test,UAV_0160,112,-49.5,362.5,False
test,UAV_0161,78,-49.5,362.5,False
test,UAV_0162,224,-49.5,362.5,False
test,UAV_0163,137,-49.5,362.5,False
test,UAV_0164,271,-49.5,362.5,False
test,UAV_0165,79,-49.5,362.5,False
test,UAV_0166,122,-49.5,362.5,False
test,UAV_0167,186,-49.5,362.5,False
test,UAV_0168,188,-49.5,362.5,False
test,UAV_0169,105,-49.5,362.5,False
test,UAV_0170,84,-49.5,362.5,False
test,UAV_0171,367,-49.5,362.5,True
test,UAV_0172,232,-49.5,362.5,False
test,UAV_0173,109,-49.5,362.5,False
test,UAV_0174,68,-49.5,362.5,False
test,UAV_0175,191,-49.5,362.5,False
test,UAV_0176,180,-49.5,362.5,False
test,UAV_0177,381,-49.5,362.5,True
test,UAV_0178,279,-49.5,362.5,False
test,UAV_0179,170,-49.5,362.5,False
test,UAV_0180,85,-49.5,362.5,False
test,UAV_0181,155,-49.5,362.5,False
test,UAV_0182,194,-49.5,362.5,False
test,UAV_0183,168,-49.5,362.5,False
test,UAV_0184,76,-49.5,362.5,False
test,UAV_0185,118,-49.5,362.5,False
test,UAV_0186,174,-49.5,362.5,False
test,UAV_0187,218,-49.5,362.5,False
test,UAV_0188,41,-49.5,362.5,False
test,UAV_0189,120,-49.5,362.5,False
test,UAV_0190,206,-49.5,362.5,False
test,UAV_0191,56,-49.5,362.5,False
test,UAV_0192,266,-49.5,362.5,False
test,UAV_0193,158,-49.5,362.5,False
test,UAV_0194,333,-49.5,362.5,False
test,UAV_0195,213,-49.5,362.5,False
test,UAV_0196,358,-49.5,362.5,False
test,UAV_0197,95,-49.5,362.5,False
test,UAV_0198,182,-49.5,362.5,False
test,UAV_0199,289,-49.5,362.5,False
test,UAV_0200,247,-49.5,362.5,False
