channel,uav_id,longest_run,flatline_rows,row_count
telemetry_27,UAV_0004,272,272,272
telemetry_28,UAV_0004,1,0,272
telemetry_01,UAV_0005,1,0,213
telemetry_02,UAV_0005,1,0,213
telemetry_03,UAV_0005,113,204,213
telemetry_04,UAV_0005,2,0,213
telemetry_05,UAV_0005,1,0,213
telemetry_06,UAV_0005,1,0,213
telemetry_07,UAV_0005,213,213,213
telemetry_08,UAV_0005,213,213,213
telemetry_09,UAV_0005,1,0,213
telemetry_10,UAV_0005,1,0,213
telemetry_11,UAV_0005,1,0,213
telemetry_12,UAV_0005,2,0,213
telemetry_13,UAV_0005,1,0,213
telemetry_14,UAV_0005,213,213,213
telemetry_15,UAV_0005,2,0,213
telemetry_16,UAV_0005,5,5,213
telemetry_17,UAV_0005,113,204,213
telemetry_18,UAV_0005,1,0,213
telemetry_19,UAV_0005,1,0,213
telemetry_20,UAV_0005,213,213,213
telemetry_21,UAV_0005,3,0,213
telemetry_22,UAV_0005,1,0,213
telemetry_23,UAV_0005,1,0,213
telemetry_24,UAV_0005,1,0,213
telemetry_25,UAV_0005,2,0,213
telemetry_26,UAV_0005,1,0,213
telemetry_27,UAV_0005,213,213,213
telemetry_28,UAV_0005,1,0,213
telemetry_01,UAV_0006,1,0,278
telemetry_02,UAV_0006,1,0,278
telemetry_03,UAV_0006,123,273,278
telemetry_04,UAV_0006,2,0,278
telemetry_05,UAV_0006,1,0,278
telemetry_06,UAV_0006,1,0,278
telemetry_07,UAV_0006,278,278,278
telemetry_08,UAV_0006,278,278,278
telemetry_09,UAV_0006,1,0,278
telemetry_10,UAV_0006,1,0,278
telemetry_11,UAV_0006,2,0,278
telemetry_12,UAV_0006,3,0,278
telemetry_13,UAV_0006,1,0,278
telemetry_14,UAV_0006,278,278,278
telemetry_15,UAV_0006,1,0,278
telemetry_16,UAV_0006,5,15,278
telemetry_17,UAV_0006,123,273,278
telemetry_18,UAV_0006,1,0,278
telemetry_19,UAV_0006,1,0,278
telemetry_20,UAV_0006,278,278,278
telemetry_21,UAV_0006,3,0,278
telemetry_22,UAV_0006,1,0,278
telemetry_23,UAV_0006,1,0,278
telemetry_24,UAV_0006,1,0,278
telemetry_25,UAV_0006,2,0,278
telemetry_26,UAV_0006,2,0,278
telemetry_27,UAV_0006,278,278,278
telemetry_28,UAV_0006,1,0,278
telemetry_01,UAV_0007,1,0,424
telemetry_02,UAV_0007,1,0,424
telemetry_03,UAV_0007,91,408,424
telemetry_04,UAV_0007,2,0,424
telemetry_05,UAV_0007,1,0,424
telemetry_06,UAV_0007,1,0,424
telemetry_07,UAV_0007,328,398,424
telemetry_08,UAV_0007,424,424,424
telemetry_09,UAV_0007,1,0,424
telemetry_10,UAV_0007,1,0,424
telemetry_11,UAV_0007,1,0,424
telemetry_12,UAV_0007,2,0,424
telemetry_13,UAV_0007,1,0,424
telemetry_14,UAV_0007,424,424,424
telemetry_15,UAV_0007,2,0,424
telemetry_16,UAV_0007,7,18,424
telemetry_17,UAV_0007,91,408,424
telemetry_18,UAV_0007,1,0,424
telemetry_19,UAV_0007,1,0,424
telemetry_20,UAV_0007,424,424,424
telemetry_21,UAV_0007,3,0,424
telemetry_22,UAV_0007,1,0,424
telemetry_23,UAV_0007,1,0,424
telemetry_24,UAV_0007,1,0,424
telemetry_25,UAV_0007,2,0,424
telemetry_26,UAV_0007,2,0,424
telemetry_27,UAV_0007,424,424,424
telemetry_28,UAV_0007,1,0,424
telemetry_01,UAV_0008,1,0,267
telemetry_02,UAV_0008,1,0,267
telemetry_03,UAV_0008,89,256,267
telemetry_04,UAV_0008,2,0,267
telemetry_05,UAV_0008,1,0,267
telemetry_06,UAV_0008,1,0,267
telemetry_07,UAV_0008,267,267,267
telemetry_08,UAV_0008,267,267,267
telemetry_09,UAV_0008,1,0,267
telemetry_10,UAV_0008,1,0,267
telemetry_11,UAV_0008,2,0,267
telemetry_12,UAV_0008,2,0,267
telemetry_13,UAV_0008,1,0,267
telemetry_14,UAV_0008,267,267,267
telemetry_15,UAV_0008,1,0,267
telemetry_16,UAV_0008,10,22,267
telemetry_17,UAV_0008,89,256,267
telemetry_18,UAV_0008,1,0,267
telemetry_19,UAV_0008,1,0,267
telemetry_20,UAV_0008,267,267,267
telemetry_21,UAV_0008,4,0,267
telemetry_22,UAV_0008,1,0,267
telemetry_23,UAV_0008,1,0,267
telemetry_24,UAV_0008,1,0,267
telemetry_25,UAV_0008,2,0,267
telemetry_26,UAV_0008,2,0,267
telemetry_27,UAV_0008,267,267,267
telemetry_28,UAV_0008,1,0,267
telemetry_01,UAV_0009,1,0,406
telemetry_02,UAV_0009,1,0,406
telemetry_03,UAV_0009,124,400,406
telemetry_04,UAV_0009,2,0,406
telemetry_05,UAV_0009,1,0,406
telemetry_06,UAV_0009,1,0,406
telemetry_07,UAV_0009,156,353,406
telemetry_08,UAV_0009,406,406,406
telemetry_09,UAV_0009,1,0,406
telemetry_10,UAV_0009,1,0,406
telemetry_11,UAV_0009,1,0,406
telemetry_12,UAV_0009,2,0,406
telemetry_13,UAV_0009,1,0,406
telemetry_14,UAV_0009,406,406,406
telemetry_15,UAV_0009,1,0,406
telemetry_16,UAV_0009,6,11,406
telemetry_17,UAV_0009,124,400,406
telemetry_18,UAV_0009,1,0,406
telemetry_19,UAV_0009,1,0,406
telemetry_20,UAV_0009,406,406,406
telemetry_21,UAV_0009,4,0,406
telemetry_22,UAV_0009,2,0,406
telemetry_23,UAV_0009,1,0,406
telemetry_24,UAV_0009,1,0,406
telemetry_25,UAV_0009,2,0,406
telemetry_26,UAV_0009,2,0,406
telemetry_27,UAV_0009,406,406,406
telemetry_28,UAV_0009,1,0,406
telemetry_01,UAV_0010,1,0,481
telemetry_02,UAV_0010,1,0,481
telemetry_03,UAV_0010,110,472,481
telemetry_04,UAV_0010,2,0,481
telemetry_05,UAV_0010,1,0,481
telemetry_06,UAV_0010,1,0,481
telemetry_07,UAV_0010,434,472,481
telemetry_08,UAV_0010,481,481,481
telemetry_09,UAV_0010,1,0,481
telemetry_10,UAV_0010,1,0,481
telemetry_11,UAV_0010,1,0,481
telemetry_12,UAV_0010,2,0,481
telemetry_13,UAV_0010,1,0,481
telemetry_14,UAV_0010,481,481,481
telemetry_15,UAV_0010,1,0,481
telemetry_16,UAV_0010,6,16,481
telemetry_17,UAV_0010,110,472,481
telemetry_18,UAV_0010,1,0,481
telemetry_19,UAV_0010,1,0,481
telemetry_20,UAV_0010,481,481,481
telemetry_21,UAV_0010,2,0,481
telemetry_22,UAV_0010,1,0,481
telemetry_23,UAV_0010,1,0,481
telemetry_24,UAV_0010,1,0,481
telemetry_25,UAV_0010,2,0,481
telemetry_26,UAV_0010,2,0,481
telemetry_27,UAV_0010,481,481,481
telemetry_28,UAV_0010,1,0,481
telemetry_01,UAV_0011,1,0,197
telemetry_02,UAV_0011,1,0,197
telemetry_03,UAV_0011,132,195,197
telemetry_04,UAV_0011,3,0,197
telemetry_05,UAV_0011,1,0,197
telemetry_06,UAV_0011,1,0,197
telemetry_07,UAV_0011,162,194,197
telemetry_08,UAV_0011,197,197,197
telemetry_09,UAV_0011,1,0,197
telemetry_10,UAV_0011,1,0,197
telemetry_11,UAV_0011,1,0,197
telemetry_12,UAV_0011,2,0,197
telemetry_13,UAV_0011,1,0,197
telemetry_14,UAV_0011,197,197,197
telemetry_15,UAV_0011,1,0,197
telemetry_16,UAV_0011,5,10,197
telemetry_17,UAV_0011,132,195,197
telemetry_18,UAV_0011,1,0,197
telemetry_19,UAV_0011,1,0,197
telemetry_20,UAV_0011,197,197,197
telemetry_21,UAV_0011,3,0,197
telemetry_22,UAV_0011,1,0,197
telemetry_23,UAV_0011,1,0,197
telemetry_24,UAV_0011,1,0,197
telemetry_25,UAV_0011,2,0,197
telemetry_26,UAV_0011,2,0,197
telemetry_27,UAV_0011,197,197,197
telemetry_28,UAV_0011,1,0,197
telemetry_01,UAV_0012,1,0,170
telemetry_02,UAV_0012,1,0,170
telemetry_03,UAV_0012,96,168,170
telemetry_04,UAV_0012,2,0,170
telemetry_05,UAV_0012,1,0,170
telemetry_06,UAV_0012,1,0,170
telemetry_07,UAV_0012,170,170,170
telemetry_08,UAV_0012,170,170,170
telemetry_09,UAV_0012,1,0,170
telemetry_10,UAV_0012,1,0,170
telemetry_11,UAV_0012,1,0,170
telemetry_12,UAV_0012,2,0,170
telemetry_13,UAV_0012,1,0,170
telemetry_14,UAV_0012,170,170,170
telemetry_15,UAV_0012,1,0,170
telemetry_16,UAV_0012,7,23,170
telemetry_17,UAV_0012,96,168,170
telemetry_18,UAV_0012,1,0,170
telemetry_19,UAV_0012,1,0,170
telemetry_20,UAV_0012,170,170,170
telemetry_21,UAV_0012,3,0,170
telemetry_22,UAV_0012,1,0,170
telemetry_23,UAV_0012,1,0,170
telemetry_24,UAV_0012,1,0,170
telemetry_25,UAV_0012,2,0,170
telemetry_26,UAV_0012,2,0,170
telemetry_27,UAV_0012,170,170,170
telemetry_28,UAV_0012,1,0,170
telemetry_01,UAV_0013,1,0,185
telemetry_02,UAV_0013,1,0,185
telemetry_03,UAV_0013,99,177,185
telemetry_04,UAV_0013,2,0,185
telemetry_05,UAV_0013,1,0,185
telemetry_06,UAV_0013,1,0,185
telemetry_07,UAV_0013,185,185,185
telemetry_08,UAV_0013,185,185,185
telemetry_09,UAV_0013,1,0,185
telemetry_10,UAV_0013,1,0,185
telemetry_11,UAV_0013,1,0,185
telemetry_12,UAV_0013,2,0,185
telemetry_13,UAV_0013,1,0,185
telemetry_14,UAV_0013,185,185,185
telemetry_15,UAV_0013,1,0,185
telemetry_16,UAV_0013,5,5,185
telemetry_17,UAV_0013,99,177,185
telemetry_18,UAV_0013,1,0,185
telemetry_19,UAV_0013,1,0,185
telemetry_20,UAV_0013,185,185,185
telemetry_21,UAV_0013,3,0,185
telemetry_22,UAV_0013,1,0,185
telemetry_23,UAV_0013,1,0,185
telemetry_24,UAV_0013,1,0,185
telemetry_25,UAV_0013,2,0,185
telemetry_26,UAV_0013,2,0,185
telemetry_27,UAV_0013,185,185,185
telemetry_28,UAV_0013,1,0,185
telemetry_01,UAV_0014,1,0,207
telemetry_02,UAV_0014,1,0,207
telemetry_03,UAV_0014,131,205,207
telemetry_04,UAV_0014,2,0,207
telemetry_05,UAV_0014,1,0,207
telemetry_06,UAV_0014,1,0,207
telemetry_07,UAV_0014,207,207,207
telemetry_08,UAV_0014,207,207,207
telemetry_09,UAV_0014,1,0,207
telemetry_10,UAV_0014,1,0,207
telemetry_11,UAV_0014,1,0,207
telemetry_12,UAV_0014,2,0,207
telemetry_13,UAV_0014,1,0,207
telemetry_14,UAV_0014,207,207,207
telemetry_15,UAV_0014,1,0,207
telemetry_16,UAV_0014,8,13,207
telemetry_17,UAV_0014,131,205,207
telemetry_18,UAV_0014,1,0,207
telemetry_19,UAV_0014,1,0,207
telemetry_20,UAV_0014,207,207,207
telemetry_21,UAV_0014,4,0,207
telemetry_22,UAV_0014,1,0,207
telemetry_23,UAV_0014,1,0,207
telemetry_24,UAV_0014,1,0,207
telemetry_25,UAV_0014,2,0,207
telemetry_26,UAV_0014,1,0,207
telemetry_27,UAV_0014,207,207,207
telemetry_28,UAV_0014,1,0,207
telemetry_01,UAV_0015,1,0,202
telemetry_02,UAV_0015,1,0,202
telemetry_03,UAV_0015,82,198,202
telemetry_04,UAV_0015,2,0,202
telemetry_05,UAV_0015,1,0,202
telemetry_06,UAV_0015,1,0,202
telemetry_07,UAV_0015,202,202,202
telemetry_08,UAV_0015,202,202,202
telemetry_09,UAV_0015,1,0,202
telemetry_10,UAV_0015,1,0,202
telemetry_11,UAV_0015,1,0,202
telemetry_12,UAV_0015,3,0,202
telemetry_13,UAV_0015,1,0,202
telemetry_14,UAV_0015,202,202,202
telemetry_15,UAV_0015,1,0,202
telemetry_16,UAV_0015,5,5,202
telemetry_17,UAV_0015,82,198,202
telemetry_18,UAV_0015,1,0,202
telemetry_19,UAV_0015,1,0,202
telemetry_20,UAV_0015,202,202,202
telemetry_21,UAV_0015,4,0,202
telemetry_22,UAV_0015,1,0,202
telemetry_23,UAV_0015,1,0,202
telemetry_24,UAV_0015,1,0,202
telemetry_25,UAV_0015,2,0,202
telemetry_26,UAV_0015,2,0,202
telemetry_27,UAV_0015,202,202,202
telemetry_28,UAV_0015,1,0,202
telemetry_01,UAV_0016,1,0,344
telemetry_02,UAV_0016,1,0,344
telemetry_03,UAV_0016,76,334,344
telemetry_04,UAV_0016,2,0,344
telemetry_05,UAV_0016,1,0,344
telemetry_06,UAV_0016,1,0,344
telemetry_07,UAV_0016,198,310,344
telemetry_08,UAV_0016,344,344,344
telemetry_09,UAV_0016,1,0,344
telemetry_10,UAV_0016,1,0,344
telemetry_11,UAV_0016,1,0,344
telemetry_12,UAV_0016,2,0,344
telemetry_13,UAV_0016,1,0,344
telemetry_14,UAV_0016,344,344,344
telemetry_15,UAV_0016,1,0,344
telemetry_16,UAV_0016,5,10,344
telemetry_17,UAV_0016,76,334,344
telemetry_18,UAV_0016,1,0,344
telemetry_19,UAV_0016,1,0,344
telemetry_20,UAV_0016,344,344,344
telemetry_21,UAV_0016,3,0,344
telemetry_22,UAV_0016,1,0,344
telemetry_23,UAV_0016,1,0,344
telemetry_24,UAV_0016,1,0,344
telemetry_25,UAV_0016,2,0,344
telemetry_26,UAV_0016,2,0,344
telemetry_27,UAV_0016,344,344,344
telemetry_28,UAV_0016,1,0,344
telemetry_01,UAV_0017,1,0,312
telemetry_02,UAV_0017,1,0,312
telemetry_03,UAV_0017,112,305,312
telemetry_04,UAV_0017,2,0,312
telemetry_05,UAV_0017,1,0,312
telemetry_06,UAV_0017,1,0,312
telemetry_07,UAV_0017,255,299,312
telemetry_08,UAV_0017,312,312,312
telemetry_09,UAV_0017,1,0,312
telemetry_10,UAV_0017,1,0,312
telemetry_11,UAV_0017,1,0,312
telemetry_12,UAV_0017,3,0,312
telemetry_13,UAV_0017,1,0,312
telemetry_14,UAV_0017,312,312,312
telemetry_15,UAV_0017,1,0,312
telemetry_16,UAV_0017,8,18,312
telemetry_17,UAV_0017,112,305,312
telemetry_18,UAV_0017,1,0,312
telemetry_19,UAV_0017,1,0,312
telemetry_20,UAV_0017,312,312,312
telemetry_21,UAV_0017,4,0,312
telemetry_22,UAV_0017,1,0,312
telemetry_23,UAV_0017,1,0,312
telemetry_24,UAV_0017,1,0,312
telemetry_25,UAV_0017,3,0,312
telemetry_26,UAV_0017,2,0,312
telemetry_27,UAV_0017,312,312,312
telemetry_28,UAV_0017,1,0,312
telemetry_01,UAV_0018,1,0,447
telemetry_02,UAV_0018,1,0,447
telemetry_03,UAV_0018,144,440,447
telemetry_04,UAV_0018,2,0,447
telemetry_05,UAV_0018,1,0,447
telemetry_06,UAV_0018,1,0,447
telemetry_07,UAV_0018,316,431,447
telemetry_08,UAV_0018,447,447,447
telemetry_09,UAV_0018,1,0,447
telemetry_10,UAV_0018,1,0,447
telemetry_11,UAV_0018,1,0,447
telemetry_12,UAV_0018,2,0,447
telemetry_13,UAV_0018,1,0,447
telemetry_14,UAV_0018,447,447,447
telemetry_15,UAV_0018,1,0,447
telemetry_16,UAV_0018,4,0,447
telemetry_17,UAV_0018,144,440,447
telemetry_18,UAV_0018,1,0,447
telemetry_19,UAV_0018,1,0,447
telemetry_20,UAV_0018,447,447,447
telemetry_21,UAV_0018,3,0,447
telemetry_22,UAV_0018,1,0,447
telemetry_23,UAV_0018,1,0,447
telemetry_24,UAV_0018,1,0,447
telemetry_25,UAV_0018,2,0,447
telemetry_26,UAV_0018,2,0,447
telemetry_27,UAV_0018,447,447,447
telemetry_28,UAV_0018,1,0,447
telemetry_01,UAV_0019,1,0,229
telemetry_02,UAV_0019,1,0,229
telemetry_03,UAV_0019,150,225,229
telemetry_04,UAV_0019,2,0,229
telemetry_05,UAV_0019,1,0,229
telemetry_06,UAV_0019,1,0,229
telemetry_07,UAV_0019,101,190,229
telemetry_08,UAV_0019,229,229,229
telemetry_09,UAV_0019,1,0,229
telemetry_10,UAV_0019,1,0,229
telemetry_11,UAV_0019,1,0,229
telemetry_12,UAV_0019,2,0,229
telemetry_13,UAV_0019,1,0,229
telemetry_14,UAV_0019,229,229,229
telemetry_15,UAV_0019,1,0,229
telemetry_16,UAV_0019,5,10,229
telemetry_17,UAV_0019,150,225,229
telemetry_18,UAV_0019,1,0,229
telemetry_19,UAV_0019,1,0,229
telemetry_20,UAV_0019,229,229,229
telemetry_21,UAV_0019,4,0,229
telemetry_22,UAV_0019,1,0,229
telemetry_23,UAV_0019,1,0,229
telemetry_24,UAV_0019,1,0,229
telemetry_25,UAV_0019,2,0,229
telemetry_26,UAV_0019,2,0,229
telemetry_27,UAV_0019,229,229,229
telemetry_28,UAV_0019,1,0,229
telemetry_01,UAV_0020,1,0,338
telemetry_02,UAV_0020,1,0,338
telemetry_03,UAV_0020,89,327,338
telemetry_04,UAV_0020,2,0,338
telemetry_05,UAV_0020,1,0,338
telemetry_06,UAV_0020,2,0,338
telemetry_07,UAV_0020,241,308,338
telemetry_08,UAV_0020,338,338,338
telemetry_09,UAV_0020,1,0,338
telemetry_10,UAV_0020,1,0,338
telemetry_11,UAV_0020,1,0,338
telemetry_12,UAV_0020,2,0,338
telemetry_13,UAV_0020,1,0,338
telemetry_14,UAV_0020,338,338,338
telemetry_15,UAV_0020,1,0,338
telemetry_16,UAV_0020,6,6,338
telemetry_17,UAV_0020,89,327,338
telemetry_18,UAV_0020,1,0,338
telemetry_19,UAV_0020,1,0,338
telemetry_20,UAV_0020,338,338,338
telemetry_21,UAV_0020,3,0,338
telemetry_22,UAV_0020,1,0,338
telemetry_23,UAV_0020,1,0,338
telemetry_24,UAV_0020,1,0,338
telemetry_25,UAV_0020,3,0,338
telemetry_26,UAV_0020,2,0,338
telemetry_27,UAV_0020,338,338,338
telemetry_28,UAV_0020,1,0,338
telemetry_01,UAV_0021,1,0,220
telemetry_02,UAV_0021,1,0,220
telemetry_03,UAV_0021,210,219,220
telemetry_04,UAV_0021,2,0,220
telemetry_05,UAV_0021,1,0,220
telemetry_06,UAV_0021,1,0,220
telemetry_07,UAV_0021,167,209,220
telemetry_08,UAV_0021,220,220,220
telemetry_09,UAV_0021,1,0,220
telemetry_10,UAV_0021,1,0,220
telemetry_11,UAV_0021,1,0,220
telemetry_12,UAV_0021,2,0,220
telemetry_13,UAV_0021,1,0,220
telemetry_14,UAV_0021,220,220,220
telemetry_15,UAV_0021,1,0,220
telemetry_16,UAV_0021,6,27,220
telemetry_17,UAV_0021,210,219,220
telemetry_18,UAV_0021,1,0,220
telemetry_19,UAV_0021,1,0,220
telemetry_20,UAV_0021,220,220,220
telemetry_21,UAV_0021,4,0,220
telemetry_22,UAV_0021,1,0,220
telemetry_23,UAV_0021,1,0,220
telemetry_24,UAV_0021,1,0,220
telemetry_25,UAV_0021,2,0,220
telemetry_26,UAV_0021,2,0,220
telemetry_27,UAV_0021,220,220,220
telemetry_28,UAV_0021,1,0,220
telemetry_01,UAV_0022,1,0,192
telemetry_02,UAV_0022,1,0,192
telemetry_03,UAV_0022,61,176,192
telemetry_04,UAV_0022,2,0,192
telemetry_05,UAV_0022,1,0,192
telemetry_06,UAV_0022,2,0,192
telemetry_07,UAV_0022,192,192,192
telemetry_08,UAV_0022,192,192,192
telemetry_09,UAV_0022,1,0,192
telemetry_10,UAV_0022,1,0,192
telemetry_11,UAV_0022,1,0,192
telemetry_12,UAV_0022,2,0,192
telemetry_13,UAV_0022,1,0,192
telemetry_14,UAV_0022,192,192,192
telemetry_15,UAV_0022,2,0,192
telemetry_16,UAV_0022,4,0,192
telemetry_17,UAV_0022,61,176,192
telemetry_18,UAV_0022,1,0,192
telemetry_19,UAV_0022,1,0,192
telemetry_20,UAV_0022,192,192,192
telemetry_21,UAV_0022,3,0,192
telemetry_22,UAV_0022,1,0,192
telemetry_23,UAV_0022,1,0,192
telemetry_24,UAV_0022,1,0,192
telemetry_25,UAV_0022,2,0,192
telemetry_26,UAV_0022,1,0,192
telemetry_27,UAV_0022,192,192,192
telemetry_28,UAV_0022,1,0,192
telemetry_01,UAV_0023,1,0,196
telemetry_02,UAV_0023,1,0,196
telemetry_03,UAV_0023,77,193,196
telemetry_04,UAV_0023,2,0,196
telemetry_05,UAV_0023,1,0,196
telemetry_06,UAV_0023,1,0,196
telemetry_07,UAV_0023,196,196,196
telemetry_08,UAV_0023,196,196,196
telemetry_09,UAV_0023,1,0,196
telemetry_10,UAV_0023,1,0,196
telemetry_11,UAV_0023,1,0,196
telemetry_12,UAV_0023,2,0,196
telemetry_13,UAV_0023,1,0,196
telemetry_14,UAV_0023,196,196,196
telemetry_15,UAV_0023,1,0,196
telemetry_16,UAV_0023,5,5,196
telemetry_17,UAV_0023,77,193,196
telemetry_18,UAV_0023,1,0,196
telemetry_19,UAV_0023,1,0,196
telemetry_20,UAV_0023,196,196,196
telemetry_21,UAV_0023,3,0,196
telemetry_22,UAV_0023,1,0,196
telemetry_23,UAV_0023,1,0,196
telemetry_24,UAV_0023,1,0,196
telemetry_25,UAV_0023,2,0,196
telemetry_26,UAV_0023,2,0,196
telemetry_27,UAV_0023,196,196,196
telemetry_28,UAV_0023,1,0,196
telemetry_01,UAV_0024,1,0,494
telemetry_02,UAV_0024,1,0,494
telemetry_03,UAV_0024,92,481,494
telemetry_04,UAV_0024,3,0,494
telemetry_05,UAV_0024,1,0,494
telemetry_06,UAV_0024,1,0,494
telemetry_07,UAV_0024,397,475,494
telemetry_08,UAV_0024,494,494,494
telemetry_09,UAV_0024,1,0,494
telemetry_10,UAV_0024,1,0,494
telemetry_11,UAV_0024,1,0,494
telemetry_12,UAV_0024,2,0,494
telemetry_13,UAV_0024,1,0,494
telemetry_14,UAV_0024,494,494,494
telemetry_15,UAV_0024,1,0,494
telemetry_16,UAV_0024,6,39,494
telemetry_17,UAV_0024,92,481,494
telemetry_18,UAV_0024,1,0,494
telemetry_19,UAV_0024,1,0,494
telemetry_20,UAV_0024,494,494,494
telemetry_21,UAV_0024,2,0,494
telemetry_22,UAV_0024,1,0,494
telemetry_23,UAV_0024,1,0,494
telemetry_24,UAV_0024,1,0,494
telemetry_25,UAV_0024,3,0,494
telemetry_26,UAV_0024,2,0,494
telemetry_27,UAV_0024,494,494,494
telemetry_28,UAV_0024,1,0,494
telemetry_01,UAV_0025,1,0,193
telemetry_02,UAV_0025,1,0,193
telemetry_03,UAV_0025,106,191,193
telemetry_04,UAV_0025,2,0,193
telemetry_05,UAV_0025,1,0,193
telemetry_06,UAV_0025,1,0,193
telemetry_07,UAV_0025,193,193,193
telemetry_08,UAV_0025,193,193,193
telemetry_09,UAV_0025,1,0,193
telemetry_10,UAV_0025,1,0,193
telemetry_11,UAV_0025,2,0,193
telemetry_12,UAV_0025,2,0,193
telemetry_13,UAV_0025,1,0,193
telemetry_14,UAV_0025,193,193,193
telemetry_15,UAV_0025,1,0,193
telemetry_16,UAV_0025,5,10,193
telemetry_17,UAV_0025,106,191,193
telemetry_18,UAV_0025,1,0,193
telemetry_19,UAV_0025,1,0,193
telemetry_20,UAV_0025,193,193,193
telemetry_21,UAV_0025,3,0,193
telemetry_22,UAV_0025,1,0,193
telemetry_23,UAV_0025,1,0,193
telemetry_24,UAV_0025,1,0,193
telemetry_25,UAV_0025,3,0,193
