channel,effectively_constant,pooled_pearson_rul,pooled_spearman_rul,pooled_pearson_cycle,pooled_spearman_cycle,partial_pearson_rul_controlling_cycle,partial_spearman_rul_controlling_cycle,valid_uavs,median_within_pearson_cycle,median_within_spearman_cycle,median_within_pearson_rul,median_within_spearman_rul,median_linear_slope_per_cycle,median_theil_sen_slope_per_cycle,positive_slope_uavs_percent,negative_slope_uavs_percent,dominant_trend_direction,dominant_trend_uavs_percent,median_last_minus_first,median_early_to_late_change,median_early_to_late_effect_size,within_uav_variance_share,between_uav_variance_share,unique_values,flatline_rows_percent,uavs_with_flatline_percent,cluster_id,strongly_correlated_peer_count,maximum_absolute_correlation,test_uavs_compared,minimum_train_uavs_at_same_age,median_standardized_mean_shift,median_absolute_standardized_mean_shift,median_iqr_shift,median_absolute_iqr_shift,outside_train_age_range_percent,rows,robust_extreme_rows,robust_extreme_rows_percent,robust_extreme_uavs,jump_rows,jump_rows_percent,jump_uavs,permanent_shift_uavs,maximum_shift_score,permanent_shift_uavs_percent,degradation_candidate,context_candidate,state_or_regime_candidate,anomaly_review,redundancy_candidate,train_test_drift_warning,removal_candidate,primary_screening_role,secondary_evidence
telemetry_11,False,-0.0006490045133104,-0.0846359610630385,-0.1925988349848096,-0.2806268614429869,-0.1089466905331887,-0.3154973743261443,100,0.1392075155442747,0.6197385015666292,-0.1392075155442747,-0.6197385015666292,0.0012182100439746,0.0017090246791129,56.00000000000001,44.0,increasing,56.00000000000001,0.3557653581823174,0.2017565644691714,0.3406517844242205,0.8677556928214182,0.13224430717858185,3551,0.0,0.0,5.0,3,0.9783152960883356,100,4,0.0470559551662719,0.4213851845396333,0.1007589856741534,0.4706629782728556,1.0,24720,444,1.7961165048543688,99,871,3.523462783171521,99,0,0.7634615384615274,0.0,False,False,False,True,True,False,False,unclassified or weak evidence,review anomaly flags; check correlated peers
telemetry_12,False,0.0377824712060539,0.0870329142117695,0.3045846652569934,0.2214599095614106,0.2215656541152476,0.2705070180869665,100,-0.6459413501556213,-0.6145609419851097,0.6459413501556213,0.6145609419851097,-0.0215480849661912,-0.0193417788753621,44.0,56.00000000000001,decreasing,56.00000000000001,-4.0618575137773405,-3.5810671102645983,-1.754808345136133,0.5043676798179507,0.4956323201820492,165,0.0,0.0,5.0,4,0.9988913084971632,100,4,0.1019136539539968,0.7430921432026123,0.0792156862745298,0.4948979591836542,5.0,24720,0,0.0,0,0,0.0,0,0,0.8548387096774425,0.0,False,False,False,False,True,True,False,unclassified or weak evidence,check correlated peers; train/test drift warning
telemetry_13,False,-0.5900574835887066,-0.6478737696508308,0.3006125030892455,0.3109467850566361,-0.5326983243605208,-0.6036736950582854,100,0.6490201595261815,0.633174579191211,-0.6490201595261815,-0.633174579191211,0.0516775539767782,0.0513180509690991,100.0,0.0,increasing,100.0,14.832951593904,9.335366960131068,1.881950866647763,0.7627177658285131,0.2372822341714868,24720,0.0,0.0,8.0,4,0.995057166293914,100,4,0.0900177762014811,0.6482119371049238,0.1178354474072179,0.5006761550064319,0.0,24720,0,0.0,0,0,0.0,0,0,0.963315597743832,0.0,True,False,False,False,True,True,False,degradation candidate,check correlated peers; train/test drift warning
telemetry_14,True,,,,,,0.0146657485967428,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0,0.0357009058510485,0.9642990941489515,46,93.91990291262135,99.0,,0,,100,4,0.0,0.0,,,0.0,24720,0,0.0,0,0,0.0,0,0,0.0,0.0,False,False,False,False,False,False,True,removal candidate,no secondary warning at current thresholds
telemetry_15,False,-0.4818073041660171,-0.4903302390466493,0.4885640528436705,0.4636101140265594,-0.3218784851309607,-0.3073326939415764,100,0.8251623206420213,0.8639727666293107,-0.8251623206420213,-0.8639727666293107,0.7453315718892155,0.616892084757905,76.0,24.0,increasing,76.0,316.8981887257541,202.39809451256588,2.415415172045029,0.7368558165339233,0.26314418346607676,6320,0.0,0.0,3.0,1,0.9830976575303368,100,4,0.0258248005752467,0.7953764490379345,0.0814502769182872,0.6756447091297746,5.0,24720,183,0.7402912621359223,13,0,0.0,0,0,2.1905570652174817,0.0,True,False,False,False,True,True,False,degradation candidate,check correlated peers; train/test drift warning
telemetry_16,False,0.6492201530633019,0.6996765470443913,-0.3861849593249112,-0.3818544076653518,0.5728887779628924,0.635088697742904,100,-0.6975452440514169,-0.6840487202605607,0.6975452440514169,0.6840487202605607,-0.0287463305012784,-0.026087185499167,0.0,100.0,decreasing,100.0,-8.671536931659716,-5.578539763887648,-2.044171352457353,0.8108905390336371,0.18910946096636289,12,4.761326860841424,90.0,8.0,4,0.9915897511795956,100,4,-0.0812787560298077,0.6308509837420622,0.0,0.5,4.0,24720,0,0.0,0,0,0.0,0,0,0.8333333333333551,0.0,True,False,False,False,True,True,False,degradation candidate,check correlated peers; train/test drift warning
telemetry_17,True,,,,,,-0.0081472556437627,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0,0.7460921231640614,0.2539078768359386,13,97.83576051779936,100.0,,0,,100,4,0.8198775336136986,0.8242473675598005,,,0.0,24720,0,0.0,0,0,0.0,0,0,0.0,0.0,False,False,False,False,False,False,True,removal candidate,no secondary warning at current thresholds
telemetry_18,False,-0.0064901251857534,0.2055730574745358,0.0997880347380914,0.257501259299504,0.047833873781564,0.4498581560636066,100,-0.023323644877711,0.0185564191382217,0.023323644877711,-0.0185564191382217,-3.1607483620757188e-06,4.608190312619336e-06,44.0,56.00000000000001,decreasing,56.00000000000001,0.0020905654590279,-0.0007093296956242,-0.0525905988355219,0.04282461805846216,0.957175381941538,24720,0.0,0.0,9.0,0,,100,4,-0.2548482865476115,0.2630922607101326,-0.0104496509652547,0.2636550890591616,1.0,24720,1792,7.249190938511327,9,4815,19.478155339805824,84,0,1.6402802797000269,0.0,False,True,False,True,False,False,False,operating-context candidate,review anomaly flags
telemetry_19,False,-0.6558537241507214,-0.7388766979612083,0.437007930952585,0.4471891565498713,-0.5647897219071808,-0.6581556717097407,100,0.8041619581935108,0.8138929915184825,-0.8041619581935108,-0.8138929915184825,0.0144363369495127,0.0133327922505269,100.0,0.0,increasing,100.0,4.436434469698725,2.566338522301521,2.3340842792399443,0.782505707005494,0.2174942929945059,24720,0.0,0.0,4.0,1,0.9992544122610476,100,4,0.1904845489415418,0.4787052069762149,0.0889876447403067,0.4713903490162964,5.0,24720,333,1.3470873786407769,13,454,1.8365695792880257,13,5,4.158170413915567,5.0,True,False,False,True,True,True,False,degradation candidate,review anomaly flags; check correlated peers; train/test drift warning
telemetry_20,True,,,,,,,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0,0.016228687627092134,0.9837713123729078,1,100.0,100.0,,0,,100,4,-0.99498743710662,0.99498743710662,,,0.0,24720,0,0.0,0,0,0.0,0,0,0.0,0.0,False,False,False,False,False,False,True,removal candidate,no secondary warning at current thresholds
telemetry_21,False,-0.6553447809034052,-0.7387717097596644,0.4381106082284078,0.4475559584353588,-0.5638041896910335,-0.6578558272949527,100,0.8010511065738108,0.8222746917010342,-0.8010511065738108,-0.8222746917010342,0.0151444953327932,0.0133776145370793,100.0,0.0,increasing,100.0,4.414612797179871,2.7338860296295024,2.314466668692106,0.7821596723179643,0.21784032768203573,161,0.020226537216828478,1.0,4.0,1,0.9992544122610476,100,4,0.2955824145113912,0.5650405905010826,0.2330393487123785,0.4999999999982341,6.0,24720,288,1.1650485436893203,13,467,1.88915857605178,14,5,4.214285714286471,5.0,True,False,False,True,True,True,False,degradation candidate,review anomaly flags; check correlated peers; train/test drift warning
telemetry_22,False,-0.6242356794042634,-0.6725188315503696,0.3735059133113131,0.3682666591934641,-0.5464530452452776,-0.6058869154254387,100,0.6590523984763526,0.6389858179822674,-0.6590523984763526,-0.6389858179822674,0.8878170363285065,0.90328734411371,100.0,0.0,increasing,100.0,273.5902139817499,170.68904451910385,1.9140535347982115,0.8330074181301327,0.16699258186986732,3358,0.0,0.0,8.0,4,0.9915897511795956,100,4,0.1350440317063605,0.5638251676381325,0.0974164652896783,0.4473802205257574,9.0,24720,0,0.0,0,0,0.0,0,0,1.0309334793320544,0.0,True,False,False,False,True,True,False,degradation candidate,check correlated peers; train/test drift warning
telemetry_23,False,0.5515964434628309,0.588250958482278,-0.5075501436347658,-0.4844754356763207,0.4062940813855828,0.4315954338345235,100,-0.824958181343979,-0.8586035220579327,0.824958181343979,0.8586035220579327,-0.2875343847800836,-0.2489567411844963,16.0,84.0,decreasing,84.0,-127.52459545037708,-79.9074752855613,-2.402244697315014,0.7877518804858096,0.2122481195141905,24720,0.0,0.0,3.0,1,0.9830976575303368,100,4,0.0293631049352579,0.7347279353528182,-0.0589560639151973,0.5902235984017985,0.0,24720,178,0.7200647249190939,13,0,0.0,0,0,2.060773991589735,0.0,True,False,False,False,True,True,False,degradation candidate,check correlated peers; train/test drift warning
telemetry_24,False,0.1546433847220622,0.0763271754346304,-0.2591112114774774,-0.2633670459092934,0.0349457714500921,-0.0966443654671542,100,0.0080208524128135,0.6553262787941949,-0.0080208524128135,-0.6553262787941949,0.0051734543429383,0.051665436394264,52.0,48.0,increasing,52.0,11.056570795852169,1.7807230561300005,0.0435422563486716,0.9062953048597175,0.09370469514028253,24720,0.0,0.0,5.0,3,0.9470975986445198,100,4,-0.0165771064153827,0.2892430000830951,-0.0792978864121715,0.4848297023219282,2.0,24720,1144,4.627831715210355,99,875,3.539644012944984,99,0,1.303614083905812,0.0,False,False,False,True,True,False,False,unclassified or weak evidence,review anomaly flags; check correlated peers
telemetry_25,False,0.6889151079472544,0.7584420334070917,-0.4074123176400539,-0.3924555331317043,0.615465038949942,0.7083193120354395,100,-0.7982523061182712,-0.7947066016382831,0.7982523061182712,0.7947066016382831,-0.0094472527804601,-0.0086399792481444,0.0,100.0,decreasing,100.0,-2.7800924643312044,-1.8366239144374104,-2.3240953777023456,0.7587841343661064,0.24121586563389363,170,0.0,0.0,8.0,4,0.9932689040033044,100,4,-0.0821971588880751,0.6626059274378655,-0.1232668566001751,0.423703457446803,3.0,24720,0,0.0,0,0,0.0,0,0,1.0121951219511869,0.0,True,False,False,False,True,False,False,degradation candidate,check correlated peers
telemetry_26,False,0.0954186225313175,0.0907651227077028,-0.1508892737266845,-0.2266886366756383,0.0260792420745939,-0.0508378861337974,100,0.7526577094774423,0.7459267042014929,-0.7526577094774423,-0.7459267042014929,0.0980504949247811,0.0958616109190592,59.0,41.0,increasing,59.0,27.126277623061924,17.427515210764795,2.13555759689839,0.14687533545728798,0.853124664542712,3532,0.0,0.0,7.0,0,,100,4,0.0661439422902149,0.1645738543892892,-0.088108695498774,0.3919442564764361,2.0,24720,2088,8.446601941747572,48,498,2.0145631067961167,8,0,2.0079836187884865,0.0,False,True,False,True,False,False,False,operating-context candidate,review anomaly flags
telemetry_27,True,,,,,,,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0,0.019417849863839553,0.9805821501361605,1,100.0,100.0,,0,,100,4,-0.994962056716401,0.99498743710662,,,3.0,24720,0,0.0,0,0,0.0,0,0,0.0,0.0,False,False,False,False,False,False,True,removal candidate,no secondary warning at current thresholds
telemetry_28,False,0.6565806304404038,0.7246153060315763,-0.3615343161663903,-0.3599296508859514,0.5903710381464459,0.6785684504834621,100,-0.7559260459413433,-0.7385465902281787,0.7559260459413433,0.7385465902281787,-0.6981197107140225,-0.6506462402389827,0.0,100.0,decreasing,100.0,-207.75723417453173,-127.6487092153584,-2.213831711383777,0.7403798347713009,0.259620165228699,24720,0.0,0.0,8.0,4,0.995057166293914,100,4,-0.3139481099071803,0.770145269904323,-0.2642611814175062,0.4907631701259631,2.0,24720,0,0.0,0,0,0.0,0,0,0.8671560337706085,0.0,True,False,False,False,True,False,False,degradation candidate,check correlated peers
