channel,pooled_pearson_rul,pooled_spearman_rul,pooled_pearson_cycle,pooled_spearman_cycle,partial_pearson_rul_controlling_cycle,partial_spearman_rul_controlling_cycle,valid_uavs,median_within_pearson_cycle,median_within_spearman_cycle,median_within_pearson_rul,median_within_spearman_rul,median_linear_slope_per_cycle,median_theil_sen_slope_per_cycle,positive_slope_uavs_percent,negative_slope_uavs_percent,dominant_trend_direction,dominant_trend_uavs_percent,median_last_minus_first,median_early_to_late_change,median_early_to_late_effect_size
telemetry_11,-0.0006490045133104188,-0.08463596106303851,-0.19259883498480967,-0.28062686144298693,-0.10894669053318878,-0.31549737432614433,100,0.13920751554427474,0.6197385015666292,-0.13920751554427474,-0.6197385015666292,0.0012182100439746353,0.00170902467911295,56.00000000000001,44.0,increasing,56.00000000000001,0.35576535818231747,0.20175656446917145,0.3406517844242205
telemetry_12,0.03778247120605397,0.08703291421176955,0.3045846652569934,0.22145990956141062,0.2215656541152476,0.27050701808696653,100,-0.6459413501556213,-0.6145609419851097,0.6459413501556213,0.6145609419851097,-0.021548084966191247,-0.019341778875362155,44.0,56.00000000000001,decreasing,56.00000000000001,-4.0618575137773405,-3.5810671102645983,-1.754808345136133
telemetry_13,-0.5900574835887066,-0.6478737696508308,0.3006125030892455,0.31094678505663614,-0.5326983243605208,-0.6036736950582854,100,0.6490201595261815,0.633174579191211,-0.6490201595261815,-0.633174579191211,0.05167755397677822,0.05131805096909917,100.0,0.0,increasing,100.0,14.832951593904,9.335366960131068,1.881950866647763
telemetry_14,,,,,,0.01466574859674286,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0
telemetry_15,-0.48180730416601714,-0.4903302390466493,0.48856405284367055,0.4636101140265594,-0.3218784851309607,-0.3073326939415764,100,0.8251623206420213,0.8639727666293107,-0.8251623206420213,-0.8639727666293107,0.7453315718892155,0.616892084757905,76.0,24.0,increasing,76.0,316.89818872575415,202.39809451256588,2.415415172045029
telemetry_16,0.6492201530633019,0.6996765470443913,-0.38618495932491126,-0.38185440766535184,0.5728887779628924,0.635088697742904,100,-0.6975452440514169,-0.6840487202605607,0.6975452440514169,0.6840487202605607,-0.028746330501278443,-0.026087185499167026,0.0,100.0,decreasing,100.0,-8.671536931659716,-5.5785397638876475,-2.044171352457353
telemetry_17,,,,,,-0.008147255643762735,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0
telemetry_18,-0.006490125185753441,0.20557305747453583,0.09978803473809147,0.257501259299504,0.04783387378156408,0.4498581560636066,100,-0.023323644877711016,0.01855641913822173,0.023323644877711016,-0.01855641913822173,-3.1607483620757188e-06,4.608190312619336e-06,44.0,56.00000000000001,decreasing,56.00000000000001,0.002090565459027971,-0.0007093296956242057,-0.052590598835521904
telemetry_19,-0.6558537241507214,-0.7388766979612083,0.43700793095258506,0.44718915654987135,-0.5647897219071808,-0.6581556717097407,100,0.8041619581935108,0.8138929915184825,-0.8041619581935108,-0.8138929915184825,0.014436336949512794,0.01333279225052698,100.0,0.0,increasing,100.0,4.436434469698725,2.566338522301521,2.3340842792399443
telemetry_20,,,,,,,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0
telemetry_21,-0.6553447809034052,-0.7387717097596644,0.43811060822840786,0.4475559584353588,-0.5638041896910335,-0.6578558272949527,100,0.8010511065738108,0.8222746917010342,-0.8010511065738108,-0.8222746917010342,0.015144495332793233,0.01337761453707938,100.0,0.0,increasing,100.0,4.4146127971798705,2.7338860296295024,2.314466668692106
telemetry_22,-0.6242356794042634,-0.6725188315503696,0.37350591331131316,0.36826665919346413,-0.5464530452452776,-0.6058869154254387,100,0.6590523984763526,0.6389858179822674,-0.6590523984763526,-0.6389858179822674,0.8878170363285065,0.90328734411371,100.0,0.0,increasing,100.0,273.5902139817499,170.68904451910385,1.9140535347982113
telemetry_23,0.5515964434628309,0.588250958482278,-0.5075501436347658,-0.48447543567632073,0.4062940813855828,0.4315954338345235,100,-0.824958181343979,-0.8586035220579327,0.824958181343979,0.8586035220579327,-0.28753438478008364,-0.24895674118449632,16.0,84.0,decreasing,84.0,-127.52459545037709,-79.9074752855613,-2.402244697315014
telemetry_24,0.15464338472206227,0.07632717543463043,-0.25911121147747745,-0.26336704590929344,0.03494577145009215,-0.09664436546715427,100,0.008020852412813579,0.6553262787941949,-0.008020852412813579,-0.6553262787941949,0.005173454342938366,0.05166543639426401,52.0,48.0,increasing,52.0,11.056570795852167,1.7807230561300003,0.043542256348671676
telemetry_25,0.6889151079472544,0.7584420334070917,-0.4074123176400539,-0.3924555331317043,0.615465038949942,0.7083193120354395,100,-0.7982523061182712,-0.7947066016382831,0.7982523061182712,0.7947066016382831,-0.009447252780460172,-0.008639979248144405,0.0,100.0,decreasing,100.0,-2.7800924643312044,-1.8366239144374106,-2.3240953777023456
telemetry_26,0.0954186225313175,0.09076512270770284,-0.1508892737266845,-0.22668863667563832,0.026079242074593972,-0.0508378861337974,100,0.7526577094774423,0.7459267042014929,-0.7526577094774423,-0.7459267042014929,0.09805049492478116,0.09586161091905929,59.0,41.0,increasing,59.0,27.126277623061924,17.427515210764795,2.1355575968983906
telemetry_27,,,,,,,0,,,,,0.0,0.0,,,flat,,0.0,0.0,0.0
telemetry_28,0.6565806304404038,0.7246153060315763,-0.36153431616639037,-0.3599296508859514,0.5903710381464459,0.6785684504834621,100,-0.7559260459413433,-0.7385465902281787,0.7559260459413433,0.7385465902281787,-0.6981197107140225,-0.6506462402389827,0.0,100.0,decreasing,100.0,-207.75723417453173,-127.6487092153584,-2.213831711383777
