channel,count,mean,median,sd,min,q05,q25,q75,q95,max,iqr,effectively_constant,mean_median_gap_sd,iqr_to_sd
telemetry_13,24720,7134.321561005774,7133.733469887315,5.7564196292494785,7116.5935588195225,7125.874578106296,7130.183068377645,7138.017142055326,7144.779052718063,7163.701303549529,7.834073677680863,False,0.10216265601473588,1.3609281779727147
telemetry_14,24720,-648.8153498138017,-648.8153498138018,4.681574147078433e-13,-648.8153498138033,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498138018,-648.8153498137976,0.0,True,0.0,0.0
telemetry_15,24720,50036.73615647687,50018.21496682397,101.79301284861016,49762.13063837139,49911.38672474876,49976.95282430596,50067.7418733142,50245.00255731534,50939.36608566774,90.78904900823545,False,0.18194951828810912,0.8918986329961551
telemetry_16,24720,-695.5817670243922,-694.5992033130013,3.054910499574377,-706.7393550173249,-701.5364328583291,-698.0678180856652,-692.8648959266694,-691.1305885403375,-687.6619737676735,5.2029221589957615,False,-0.3216342054956313,1.7031340720851411
telemetry_17,24720,40.415812282139726,40.41581228213973,1.453899675017678e-14,40.41581228213962,40.41581228213973,40.41581228213973,40.41581228213973,40.41581228213973,40.415812282139846,0.0,True,0.0,0.0
telemetry_18,24720,-103.11108098351154,-103.24512294228765,0.689088318216898,-105.48396588180913,-103.33618054553222,-103.32749138957934,-103.06476384689834,-102.45798304730502,-96.74556118859034,0.26272754268099163,False,0.19452072431435105,0.3812683160278089
telemetry_19,24720,33504.88487396005,33504.829273886986,2.224589268008399,33488.86839268081,33502.60367249125,33503.95261476769,33505.82683325871,33508.399983973955,33512.45198749248,1.874218491022475,False,0.024993410632889075,0.8425009137531265
telemetry_20,24720,-164.89738417690256,-164.8973841769026,2.842228432060968e-14,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,-164.8973841769026,0.0,True,0.0,0.0
telemetry_21,24720,34961.52076478842,34961.497888093465,2.329222234343969,34944.28089818447,34959.14342793496,34960.46781177412,34962.5279644128,34965.17673209112,34969.29703736848,2.060152638681757,False,0.009821602516594509,0.8844809259954552
telemetry_22,24720,23041.71532837786,23033.569170115163,99.21532124118974,22695.29628573517,22892.250646647113,22971.800133518645,23104.843936989804,23218.883563989224,23439.584040385205,133.04380347115875,False,0.08210584979002306,1.3409602650757224
telemetry_23,24720,-17384.07793534695,-17376.28551156349,37.96603276508704,-17707.964497516994,-17463.43195986978,-17395.48438689545,-17360.862243803633,-17340.544090576146,-17297.6715524006,34.622143091815815,False,-0.2052472490786278,0.9119241745914992
telemetry_24,24720,-3653.234161968041,-3645.9075403895367,46.9235356950855,-4091.51453390016,-3712.178161815747,-3659.788061404334,-3639.3672576004965,-3628.504303482752,-3258.7045741898737,20.420803803837316,False,-0.156139589013784,0.4351932031834522
telemetry_25,24720,-172.1869473698876,-172.01769073691605,0.9117310545500452,-175.2991113505529,-173.9622362857379,-172.74689531772427,-171.50117082551026,-170.95426738990412,-169.98199461549322,1.2457244922140092,False,-0.1856431588316187,1.3663289036796002
telemetry_26,24720,-7494.089217822444,-7474.980156932639,123.73014829974032,-8255.985985064535,-7657.687836372631,-7509.569749034004,-7462.206407152467,-7437.233008705838,-6497.197225281872,47.36334188153705,False,-0.15444142880611844,0.38279548301193184
telemetry_27,24720,969.0302044744711,969.0302044744708,3.410674118473162e-13,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,969.0302044744708,0.0,True,0.0,0.0
telemetry_28,24720,-9762.695952948212,-9751.853079010572,68.04696977455454,-10014.463715989665,-9893.49972076334,-9805.315701371568,-9711.667138430777,-9668.63401844992,-9571.930194195516,93.64856294079073,False,-0.15934396452278327,1.3762341401984022
